id,content,doi,patent_link,title,journal,document_type,pubmed_id,year,month,day,volume,issue,first_page,last_page
63,"Stevers, L. M., Lam, C. V., Leysen, S. F., Meijer, F. A., van Scheppingen, D. S., de Vries, R. M., Carlile, G. W., Milroy, L. G., Thomas, D. Y., Brunsveld, L., & Ottmann, C. (2016). Characterization and small-molecule stabilization of the multisite tandem binding between 14-3-3 and the R domain of CFTR. Proceedings of the National Academy of Sciences of the United States of America, 113(9), E1152–E1161.",10.1073/pnas.1516631113,,Characterization and small-molecule stabilization of the multisite tandem binding between 14-3-3 and the R domain of CFTR.,Proceedings of the National Academy of Sciences of the United States of America,Scientific Literature,26888287,2016,3,1,113,9,E1152,E1161
64,"Doveston, R. G., Kuusk, A., Andrei, S. A., Leysen, S., Cao, Q., Castaldi, M. P., Hendricks, A., Brunsveld, L., Chen, H., Boyd, H., & Ottmann, C. (2017). Small-molecule stabilization of the p53 - 14-3-3 protein-protein interaction. FEBS Letters, 591(16), 2449–2457.",10.1002/1873-3468.12723,,Small-molecule stabilization of the p53 - 14-3-3 protein-protein interaction.,FEBS Letters,Scientific Literature,28640363,2017,8,,591,16,2449,2457
65,"Lentini Santo, D., Petrvalska, O., Obsilova, V., Ottmann, C., & Obsil, T. (2020). Stabilization of protein-protein interactions between CaMKK2 and 14-3-3 by fusicoccins. ACS Chemical Biology, 15(11), 3060–3071.",10.1021/acschembio.0c00821,,Stabilization of protein-protein interactions between CaMKK2 and 14-3-3 by fusicoccins.,ACS Chemical Biology,Scientific Literature,33146997,2020,11,20,15,11,3060,3071
66,"Madauss, K. P., Grygielko, E. T., Deng, S. J., Sulpizio, A. C., Stanley, T. B., Wu, C., Short, S. A., Thompson, S. K., Stewart, E. L., Laping, N. J., et al. (2007). A structural and in vitro characterization of asoprisnil: a selective progesterone receptor modulator. Molecular Endocrinology, 21(5), 1066–1081.",10.1210/me.2006-0524,,A structural and in vitro characterization of asoprisnil: a selective progesterone receptor modulator.,Molecular Endocrinology,Scientific Literature,17356170,2007,5,,21,5,1066,1081
67,"Tan, X., Calderon-Villalobos, L. I., Sharon, M., Zheng, C., Robinson, C. V., Estelle, M., & Zheng, N. (2007). Mechanism of auxin perception by the TIR1 ubiquitin ligase. Nature, 446(7136), 640–645.",10.1038/nature05731,,Mechanism of auxin perception by the TIR1 ubiquitin ligase.,Nature,Scientific Literature,17410169,2007,4,5,446,7136,640,645
68,"Dharmasiri, N., Dharmasiri, S., & Estelle, M. (2005). The F-box protein TIR1 is an auxin receptor. Nature, 435(7041), 441–445.",10.1038/nature03543,,The F-box protein TIR1 is an auxin receptor.,Nature,Scientific Literature,15917797,2005,5,26,435,7041,441,445
69,"Ottmann, C., Weyand, M., Sassa, T., Inoue, T., Kato, N., Wittinghofer, A., & Oecking, C. (2009). A structural rationale for selective stabilization of anti-tumor interactions of 14-3-3 proteins by cotylenin A. Journal of Molecular Biology, 386(4), 913–919.",10.1016/j.jmb.2009.01.005,,A structural rationale for selective stabilization of anti-tumor interactions of 14-3-3 proteins by cotylenin A.,Journal of Molecular Biology,Scientific Literature,19244612,2009,3,6,386,4,913,919
70,"le Maire, A., Teyssier, C., Erb, C., Grimaldi, M., Alvarez, S., de Lera, A. R., Balaguer, P., Gronemeyer, H., Royer, C. A., Germain, P., & Bourguet, W. (2010). A unique secondary-structure switch controls constitutive gene repression by retinoic acid receptor. Nature Structural & Molecular Biology, 17(7), 801–807.",10.1038/nsmb.1855,,A unique secondary-structure switch controls constitutive gene repression by retinoic acid receptor.,Nature Structural & Molecular Biology,Scientific Literature,20543827,2010,7,,17,7,801,807
71,"Rose, R., Erdmann, S., Bovens, S., Wolf, A., Rose, M., Hennig, S., Waldmann, H., & Ottmann, C. (2010). Identification and structure of small-molecule stabilizers of 14-3-3 protein-protein interactions. Angewandte Chemie International Edition, 49(24), 4129–4132.",10.1002/anie.200907203,,Identification and structure of small-molecule stabilizers of 14-3-3 protein-protein interactions.,Angewandte Chemie International Edition,Scientific Literature,20437433,2010,6,1,49,24,4129,4132
72,"Sheard, L. B., Tan, X., Mao, H., Withers, J., Ben-Nissan, G., Hinds, T. R., Kobayashi, Y., Hsu, F. F., Sharon, M., Browse, J., et al. (2010). Jasmonate perception by inositol-phosphate-potentiated COI1-JAZ co-receptor. Nature, 468(7322), 400–405.",10.1038/nature09430,,Jasmonate perception by inositol-phosphate-potentiated COI1-JAZ co-receptor.,Nature,Scientific Literature,20927106,2010,11,18,468,7322,400,405
73,"Wolter, M., de Vink, P., Neves, J. F., Srdanović, S., Higuchi, Y., Kato, N., Wilson, A., Landrieu, I., Brunsveld, L., & Ottmann, C. (2020). Selectivity via cooperativity: preferential stabilization of the p65/14-3-3 interaction with semisynthetic natural products. Journal of the American Chemical Society, 142(27), 11772–11783.",10.1021/jacs.0c02151,,Selectivity via cooperativity: preferential stabilization of the p65/14-3-3 interaction with semisynthetic natural products.,Journal of the American Chemical Society,Scientific Literature,32501683,2020,7,8,142,27,11772,11783
74,"Molzan, M., Kasper, S., Röglin, L., Skwarczynska, M., Sassa, T., Inoue, T., Breitenbuecher, F., Ohkanda, J., Kato, N., Schuler, M., & Ottmann, C. (2013). Stabilization of physical RAF/14-3-3 interaction by cotylenin A as treatment strategy for RAS mutant cancers. ACS Chemical Biology, 8(9), 1869–1875.",10.1021/cb4003464,,Stabilization of physical RAF/14-3-3 interaction by cotylenin A as treatment strategy for RAS mutant cancers.,ACS Chemical Biology,Scientific Literature,23808890,2013,9,20,8,9,1869,1875
75,"Nemetski, S. M., Cardozo, T. J., Bosch, G., Weltzer, R., O'Malley, K., Ejigiri, I., Kumar, K. A., Buscaglia, C. A., Nussenzweig, V., Sinnis, P., et al. (2015). Inhibition by stabilization: targeting the Plasmodium falciparum aldolase-TRAP complex. Malaria Journal, 14, 324.",10.1186/s12936-015-0834-9,,Inhibition by stabilization: targeting the Plasmodium falciparum aldolase-TRAP complex.,Malaria Journal,Scientific Literature,26289816,2015,8,20,14,,324,
76,"Bier, D., Bartel, M., Sies, K., Halbach, S., Higuchi, Y., Haranosono, Y., Brummer, T., Kato, N., & Ottmann, C. (2016). Small-Molecule Stabilization of the 14-3-3/Gab2 Protein-Protein Interaction (PPI) Interface. ChemMedChem, 11(8), 911–918.",10.1002/cmdc.201500484,,Small-Molecule Stabilization of the 14-3-3/Gab2 Protein-Protein Interaction (PPI) Interface.,ChemMedChem,Scientific Literature,26644359,2016,4,19,11,8,911,918
77,"Bier, D., Mittal, S., Bravo-Rodriguez, K., Sowislok, A., Guillory, X., Briels, J., Heid, C., Bartel, M., Wettig, B., Brunsveld, L., et al. (2017). The molecular tweezer CLR01 stabilizes a disordered protein-protein interface. Journal of the American Chemical Society, 139(45), 16256–16263.",10.1021/jacs.7b07939,,The molecular tweezer CLR01 stabilizes a disordered protein-protein interface.,Journal of the American Chemical Society,Scientific Literature,29039919,2017,11,15,139,45,16256,16263
78,"Andrei, S. A., de Vink, P., Sijbesma, E., Han, L., Brunsveld, L., Kato, N., Ottmann, C., & Higuchi, Y. (2018). Rationally designed semisynthetic natural product analogues for stabilization of 14-3-3 protein-protein interactions. Angewandte Chemie International Edition, 57(41), 13470–13474.",10.1002/anie.201806584,,Rationally designed semisynthetic natural product analogues for stabilization of 14-3-3 protein-protein interactions.,Angewandte Chemie International Edition,Scientific Literature,30025189,2018,10,8,57,41,13470,13474
79,"Sievers, Q. L., Petzold, G., Bunker, R. D., Renneville, A., Słabicki, M., Liddicoat, B. J., Abdulrahman, W., Mikkelsen, T., Ebert, B. L., & Thomä, N. H. (2018). Defining the human C2H2 zinc finger degrome targeted by thalidomide analogs through CRBN. Science, 362(6414), eaat0572.",10.1126/science.aat0572,,Defining the human C2H2 zinc finger degrome targeted by thalidomide analogs through CRBN.,Science,Scientific Literature,30385546,2018,11,2,362,6414,eaat0572,
80,"Matyskiela, M. E., Clayton, T., Zheng, X., Mayne, C., Tran, E., Carpenter, A., Pagarigan, B., McDonald, J., Rolfe, M., Hamann, L. G., et al. (2020). Crystal structure of the SALL4-pomalidomide-cereblon-DDB1 complex. Nature Structural & Molecular Biology, 27(4), 319–322.",10.1038/s41594-020-0405-9,,Crystal structure of the SALL4-pomalidomide-cereblon-DDB1 complex.,Nature Structural & Molecular Biology,Scientific Literature,32251415,2020,4,,27,4,319,322
81,"Simonetta, K. R., Taygerly, J., Boyle, K., Basham, S. E., Padovani, C., Lou, Y., Cummins, T. J., Yung, S. L., von Soly, S. K., Kayser, F., et al. (2019). Prospective discovery of small molecule enhancers of an E3 ligase-substrate interaction. Nature Communications, 10(1), 1402.",10.1038/s41467-019-09358-9,,Prospective discovery of small molecule enhancers of an E3 ligase-substrate interaction.,,Scientific Literature,30926793,2019,3,29,10,1,1402,
82,"Kaplan, A., Andrei, S. A., van Regteren Altena, A., Simas, T., Banerjee, S. L., Kato, N., Bisson, N., Higuchi, Y., Ottmann, C., & Fournier, A. E. (2020). Polypharmacological perturbation of the 14-3-3 adaptor protein interactome stimulates neurite outgrowth. Cell Chemical Biology, 27(6), 657–667.e6.",10.1016/j.chembiol.2020.02.010,,Polypharmacological perturbation of the 14-3-3 adaptor protein interactome stimulates neurite outgrowth.,Cell Chemical Biology,Scientific Literature,32220335,2020,6,18,27,6,657,667
83,"Bosica, F., Andrei, S. A., Neves, J. F., Brandt, P., Gunnarsson, A., Landrieu, I., Ottmann, C., & O'Mahony, G. (2020). Design of drug-like protein-protein interaction stabilizers guided by chelation-controlled bioactive conformation stabilization. Chemistry, 26(31), 7131–7139.",10.1002/chem.202001608,,Design of drug-like protein-protein interaction stabilizers guided by chelation-controlled bioactive conformation stabilization.,Chemistry,Scientific Literature,32255539,2020,6,2,26,31,7131,7139
84,"Sijbesma, E., Visser, E., Plitzko, K., Thiel, P., Milroy, L. G., Kaiser, M., Brunsveld, L., & Ottmann, C. (2020). Structure-based evolution of a promiscuous inhibitor to a selective stabilizer of protein-protein interactions. Nature Communications, 11(1), 3954.",10.1038/s41467-020-17741-0,,Structure-based evolution of a promiscuous inhibitor to a selective stabilizer of protein-protein interactions.,Nature Communications,Scientific Literature,32770072,2020,8,7,11,1,3954,
85,"Furihata, H., Yamanaka, S., Honda, T., Miyauchi, Y., Asano, A., Shibata, N., Tanokura, M., Sawasaki, T., & Miyakawa, T. (2020). Structural bases of IMiD selectivity that emerges by 5-hydroxythalidomide. Nature Communications, 11(1), 4578.",10.1038/s41467-020-18488-4,,Structural bases of IMiD selectivity that emerges by 5-hydroxythalidomide.,Nature Communications,Scientific Literature,32929090,2020,9,14,11,1,4578,
86,"Wang, E. S., Verano, A. L., Nowak, R. P., Yuan, J. C., Donovan, K. A., Eleuteri, N. A., Yue, H., Ngo, K. H., Lizotte, P. H., Gokhale, P. C., et al. (2021). Acute pharmacological degradation of Helios destabilizes regulatory T cells. Nature Chemical Biology, 17(6), 711–717.",10.1038/s41589-021-00802-w,,Acute pharmacological degradation of Helios destabilizes regulatory T cells.,Nature Chemical Biology,Scientific Literature,34035522,2021,6,,17,6,711,717
87,"Bonazzi, S., d'Hennezel, E., Beckwith, R. E. J., Xu, L., Fazal, A., Magracheva, A., Ramesh, R., Cernijenko, A., Antonakos, B., Bhang, H. C., et al. (2023). Discovery and characterization of a selective IKZF2 glue degrader for cancer immunotherapy. Cell Chemical Biology, 30(3), 235–247.e12.",10.1016/j.chembiol.2023.02.005,,Discovery and characterization of a selective IKZF2 glue degrader for cancer immunotherapy.,Cell Chemical Biology,Scientific Literature,36863346,2023,3,16,30,3,235,247
88,"Kenanova, D. N., Visser, E. J., Virta, J. M., Sijbesma, E., Centorrino, F., Vickery, H. R., Zhong, M., Neitz, R. J., Brunsveld, L., Ottmann, C., & Arkin, M. R. (2023). A systematic approach to the discovery of protein-protein interaction stabilizers. ACS Central Science, 9(5), 937–946.",10.1021/acscentsci.2c01449,,A systematic approach to the discovery of protein-protein interaction stabilizers.,ACS Central Science,Scientific Literature,37252362,2023,4,18,9,5,937,946
89,"Watson, E. R., Novick, S., Matyskiela, M. E., Chamberlain, P. P., H de la Peña, A., Zhu, J., Tran, E., Griffin, P. R., Wertz, I. E., & Lander, G. C. (2022). Molecular glue CELMoD compounds are regulators of cereblon conformation. Science, 378(6619), 549–553.",10.1126/science.add7574,,Molecular glue CELMoD compounds are regulators of cereblon conformation.,Science,Scientific Literature,36378961,2022,11,4,378,6619,549,553
90,"Hansen, J. D., Correa, M., Nagy, M. A., Alexander, M., Plantevin, V., Grant, V., Whitefield, B., Huang, D., Kercher, T., Harris, R., et al. (2020). Discovery of CRBN E3 ligase modulator CC-92480 for the treatment of relapsed and refractory multiple myeloma. Journal of Medicinal Chemistry, 63(13), 6648–6676.",10.1021/acs.jmedchem.9b01928,,Discovery of CRBN E3 ligase modulator CC-92480 for the treatment of relapsed and refractory multiple myeloma.,Journal of Medicinal Chemistry,Scientific Literature,32130004,2020,7,9,63,13,6648,6676
91,"Matyskiela, M. E., Zhang, W., Man, H. W., Muller, G., Khambatta, G., Baculi, F., Hickman, M., LeBrun, L., Pagarigan, B., Carmel, G., et al. (2018). A cereblon modulator (CC-220) with improved degradation of Ikaros and Aiolos. Journal of Medicinal Chemistry, 61(2), 535–542.",10.1021/acs.jmedchem.6b01921,,A cereblon modulator (CC-220) with improved degradation of Ikaros and Aiolos.,Journal of Medicinal Chemistry,Scientific Literature,28425720,2018,1,25,61,2,535,542
92,"Cuevas-Navarro, A., Pourfarjam, Y., Hu, F., Rodriguez, D. J., Vides, A., Sang, B., Fan, S., Goldgur, Y., de Stanchina, E., & Lito, P. (2025). Pharmacologic restoration of GTP hydrolysis by mutant RAS. Nature, 637(8044), 224–229.",10.1038/s41586-024-08283-2,,Pharmacologic restoration of GTP hydrolysis by mutant RAS.,Nature,Scientific Literature,39476862,2025,1,,637,8044,224,229
93,"Holderfield, M., Lee, B. J., Jiang, J., Tomlinson, A., Seamon, K. J., Mira, A., Patrucco, E., Goodhart, G., Dilly, J., Gindin, Y., et al. (2024). Concurrent inhibition of oncogenic and wild-type RAS-GTP for cancer therapy. Nature, 629(8013), 919–926.",10.1038/s41586-024-07205-6,,Concurrent inhibition of oncogenic and wild-type RAS-GTP for cancer therapy.,Nature,Scientific Literature,38589574,2024,5,,629,8013,919,926
94,"Sylvain, A., Stoehr, N., Ma, F., Cernijenko, A., Schröder, M., Khoshouei, M., Vogelsanger, M., Schoenboerner, M., Burke, A., Pasupuleti, R., et al. (2024). A cereblon (CRBN) molecular glue degrader of NIMA-related kinase 7 (NEK7) reveals a context-dependent role in NLRP3 inflammasome activation. bioRxiv.",10.1101/2024.11.06.622079,,A cereblon (CRBN) molecular glue degrader of NIMA-related kinase 7 (NEK7) reveals a context-dependent role in NLRP3 inflammasome activation.,bioRxiv,preprint,,2024,11,8,,,,
95,"Razumkov, H., Jiang, Z., Baek, K., You, I., Geng, Q., Donovan, K. A., Tang, M. T., Metivier, R. J., Mageed, N., Seo, P., et al. (2024). Discovery of CRBN-dependent WEE1 molecular glue degraders from a multicomponent combinatorial library. Journal of the American Chemical Society, 146(46), 31433–31443.",10.1021/jacs.4c06127,,Discovery of CRBN-dependent WEE1 molecular glue degraders from a multicomponent combinatorial library.,Journal of the American Chemical Society,Scientific Literature,39499896,2024,11,20,146,46,31433,31443
96,"Nishiguchi, G., Mascibroda, L. G., Young, S. M., Caine, E. A., Abdelhamed, S., Kooijman, J. J., Miller, D. J., Das, S., McGowan, K., Mayasundari, A., et al. (2024). Selective CK1α degraders exert antiproliferative activity against a broad range of human cancer cell lines. Nature Communications, 15(1), 482.",10.1038/s41467-024-44698-1,,Selective CK1α degraders exert antiproliferative activity against a broad range of human cancer cell lines.,Nature Communications,Scientific Literature,38228616,2024,1,16,15,1,482,
97,"Liu, Y., Sun, X., Liu, Q., Han, C., & Rao, Y. (2025). A dual-target and dual-mechanism design strategy by combining inhibition and degradation together. Journal of the American Chemical Society, 147(4), 3110-3118.",10.1021/jacs.4c11930,,A dual-target and dual-mechanism design strategy by combining inhibition and degradation together.,Journal of the American Chemical Society,Scientific Literature,39622049,2025,1,29,147,4,3110,3118
98,"Zhuang, Z., Byun, W. S., Chrustowicz, J., Kozicka, Z., Li, V. L., Abeja, D. M., Donovan, K. A., Sepic, S., You, I., Słabicki, M., et al. (2024). Charged molecular glue discovery enabled by targeted degron display. bioRxiv.",10.1101/2024.09.24.614843,,Charged molecular glue discovery enabled by targeted degron display.,bioRxiv,preprint,,2024,9,26,,,,
99,"Mason, J. W., Chow, Y. T., Hudson, L., Tutter, A., Michaud, G., Westphal, M. V., Shu, W., Ma, X., Tan, Z. Y., Coley, C. W., et al. (2024). DNA-encoded library-enabled discovery of proximity-inducing small molecules. Nature Chemical Biology, 20(2), 170–179.",10.1038/s41589-023-01458-4,,DNA-encoded library-enabled discovery of proximity-inducing small molecules.,Nature Chemical Biology,Scientific Literature,37919549,2024,2,,20,2,170,179
100,"Li, Y. D., Ma, M. W., Hassan, M. M., Hunkeler, M., Teng, M., Puvar, K., Rutter, J. C., Lumpkin, R. J., Sandoval, B., Jin, C. Y., et al. (2024). Template-assisted covalent modification underlies activity of covalent molecular glues. Nature Chemical Biology, 20(12), 1640–1649.",10.1038/s41589-024-01668-4,,Template-assisted covalent modification underlies activity of covalent molecular glues.,Nature Chemical Biology,Scientific Literature,39075252,2024,12,,20,12,1640,1649
101,"Cossar, P. J., Wolter, M., van Dijck, L., Valenti, D., Levy, L. M., Ottmann, C., & Brunsveld, L. (2021). Reversible covalent imine-tethering for selective stabilization of 14-3-3 hub protein interactions. Journal of the American Chemical Society, 143(22), 8454–8464.",10.1021/jacs.1c03035,,Reversible covalent imine-tethering for selective stabilization of 14-3-3 hub protein interactions.,Journal of the American Chemical Society,Scientific Literature,34047554,2021,6,9,143,22,8454,8464
102,"Visser, E. J., Jaishankar, P., Sijbesma, E., Pennings, M. A. M., Vandenboorn, E. M. F., Guillory, X., Neitz, R. J., Morrow, J., Dutta, S., Renslo, A. R., et al. (2023). From tethered to freestanding stabilizers of 14-3-3 protein-protein interactions through fragment linking. Angewandte Chemie International Edition, 62(37), e202308004.",10.1002/anie.202308004,,From tethered to freestanding stabilizers of 14-3-3 protein-protein interactions through fragment linking.,Angewandte Chemie International Edition,Scientific Literature,37455289,2023,9,11,62,37,e202308004,
103,"Ghosh, P., Schmitz, M., Pandurangan, T., Zeleke, S. T., Chan, S. C., Mosior, J., Sun, L., Palve, V., Grassie, D., Anand, K., et al. (2024). Discovery and design of molecular glue enhancers of CDK12-DDB1 interactions for targeted degradation of cyclin K. RSC Chemical Biology, 6(1), 36–55.",10.1039/d4cb00190g,,Discovery and design of molecular glue enhancers of CDK12-DDB1 interactions for targeted degradation of cyclin K.,RSC Chemical Biology,Scientific Literature,39450271,2024,10,11,6,1,36,55
104,"Houles, T., Boucher, J., Lavoie, G., MacLeod, G., Lin, S., Angers, S., & Roux, P. P. (2023). The CDK12 inhibitor SR-4835 functions as a molecular glue that promotes cyclin K degradation in melanoma. Cell Death Discovery, 9(1), 459.",10.1038/s41420-023-01754-x,,The CDK12 inhibitor SR-4835 functions as a molecular glue that promotes cyclin K degradation in melanoma.,Cell Death Discovery,Scientific Literature,38104154,2023,12,16,9,1,459,
105,"Lv, L., Chen, P., Cao, L., Li, Y., Zeng, Z., Cui, Y., Wu, Q., Li, J., Wang, J. H., Dong, M. Q., et al. (2020). Discovery of a molecular glue promoting CDK12-DDB1 interaction to trigger cyclin K degradation. eLife, 9, e59994.",10.7554/eLife.59994,,Discovery of a molecular glue promoting CDK12-DDB1 interaction to trigger cyclin K degradation.,eLife,Scientific Literature,32804079,2020,8,17,9,,e59994,
106,"Lu, P., Cheng, Y., Xue, L., Ren, X., Xu, X., Chen, C., Cao, L., Li, J., Wu, Q., Sun, S., et al. (2024). Selective degradation of multimeric proteins by TRIM21-based molecular glue and PROTAC degraders. Cell, 187(25), 7126–7142.e20.",10.1016/j.cell.2024.10.015,,Selective degradation of multimeric proteins by TRIM21-based molecular glue and PROTAC degraders.,Cell,Scientific Literature,39488207,2024,12,12,187,25,7126,7142.e20
107,"Li, X., Wang, Q., Guo, A., Qiu, Y., Chen, Q., Li, Y., Zhang, L., Guo, Y., Meng, X., Li, S., et al. (2025). Chemically induced nuclear pore complex protein degradation via E3 ligase TRIM21. ACS Chemical Biology, 20(5), 1020-1028.",10.1101/2024.12.03.626577,,Chemically induced nuclear pore complex protein degradation via E3 ligase TRIM21.,ACS Chemical Biology,Scientific Literature,40247740,2025,5,16,20,5,1020,1028
108,"Schultz, L. W., & Clardy, J. (1998). Chemical inducers of dimerization: the atomic structure of FKBP12-FK1012A-FKBP12. Bioorganic & Medicinal Chemistry Letters, 8(1), 1–6.",10.1016/s0960-894x(97)10195-0,,Chemical inducers of dimerization: the atomic structure of FKBP12-FK1012A-FKBP12.,Bioorganic & Medicinal Chemistry Letters,Scientific Literature,9871618,1998,1,6,8,1,1,6
109,"Foight, G. W., Wang, Z., Wei, C. T., Jr Greisen, P., Warner, K. M., Cunningham-Bryant, D., Park, K., Brunette, T. J., Sheffler, W., Baker, D., & Maly, D. J. (2019). Multi-input chemical control of protein dimerization for programming graded cellular responses. Nature Biotechnology, 37(10), 1209–1216.",10.1038/s41587-019-0242-8,,Multi-input chemical control of protein dimerization for programming graded cellular responses.,Nature Biotechnology,Scientific Literature,31501561,2019,10,,37,10,1209,1216
110,"Glasgow, A. A., Huang, Y. M., Mandell, D. J., Thompson, M., Ritterson, R., Loshbaugh, A. L., Pellegrino, J., Krivacic, C., Pache, R. A., Barlow, K. A., et al. (2019). Computational design of a modular protein sense-response system. Science, 366(6468), 1024–1028.",10.1126/science.aax8780,,Computational design of a modular protein sense-response system.,Science,Scientific Literature,31754004,2019,11,22,366,6468,1024,1028
111,"Lesne, J., Chang, H. J., De Visch, A., Paloni, M., Barthe, P., Guichou, J. F., Mayonove, P., Barducci, A., Labesse, G., Bonnet, J., & Cohen-Gonsaud, M. (2019). Structural basis for chemically-induced homodimerization of a single domain antibody. Scientific Reports, 9(1), 1840.",10.1038/s41598-019-38752-y,,Structural basis for chemically-induced homodimerization of a single domain antibody.,Scientific Reports,Scientific Literature,30755682,2019,2,12,9,1,1840,
112,"Zandi, T. A., Romanowski, M. J., Viscomi, J. S., Tan, Z. Y., Tong, B., Bonazzi, S., Zecri, F. J., Schreiber, S. L., & Michaud, G. A. (2024). Discovery of molecular glues that bind FKBP12 and novel targets using DNA-barcoded libraries. bioRxiv.",10.1101/2024.12.09.627499,,Discovery of molecular glues that bind FKBP12 and novel targets using DNA-barcoded libraries.,bioRxiv,preprint,,2024,12,12,,,,
113,"Bueno, A. B., Sun, B., Willard, F. S., Feng, D., Ho, J. D., Wainscott, D. B., Showalter, A. D., Vieth, M., Chen, Q., Stutsman, C., et al. (2020). Structural insights into probe-dependent positive allosterism of the GLP-1 receptor. Nature Chemical Biology, 16(10), 1105–1110.",10.1038/s41589-020-0589-7,,Structural insights into probe-dependent positive allosterism of the GLP-1 receptor.,Nature Chemical Biology,Scientific Literature,32690941,2020,10,,16,10,1105,1110
114,"Skalniak, L., Zak, K. M., Guzik, K., Magiera, K., Musielak, B., Pachota, M., Szelazek, B., Kocik, J., Grudnik, P., Tomala, M., et al. (2017). Small-molecule inhibitors of PD-1/PD-L1 immune checkpoint alleviate the PD-L1-induced exhaustion of T-cells. Oncotarget, 8(42), 72167–72181.",10.18632/oncotarget.20050,,Small-molecule inhibitors of PD-1/PD-L1 immune checkpoint alleviate the PD-L1-induced exhaustion of T-cells.,Oncotarget,Scientific Literature,29069777,2017,8,7,8,42,72167,72181
115,"Muszak, D., Surmiak, E., Plewka, J., Magiera-Mularz, K., Kocik-Krol, J., Musielak, B., Sala, D., Kitel, R., Stec, M., Weglarczyk, K., et al. (2021). Terphenyl-based small-molecule inhibitors of programmed cell death-1/programmed death-ligand 1 protein-protein interaction. Journal of Medicinal Chemistry, 64(15), 11614–11636.",10.1021/acs.jmedchem.1c00957,,Terphenyl-based small-molecule inhibitors of programmed cell death-1/programmed death-ligand 1 protein-protein interaction.,Journal of Medicinal Chemistry,Scientific Literature,34313116,2021,8,12,64,15,11614,11636
116,"Wang, T., Cai, S., Cheng, Y., Zhang, W., Wang, M., Sun, H., Guo, B., Li, Z., Xiao, Y., & Jiang, S. (2022). Discovery of small-molecule inhibitors of the PD-1/PD-L1 axis that promote PD-L1 internalization and degradation. Journal of Medicinal Chemistry, 65(5), 3879–3893.",10.1021/acs.jmedchem.1c01682,,Discovery of small-molecule inhibitors of the PD-1/PD-L1 axis that promote PD-L1 internalization and degradation.,Journal of Medicinal Chemistry,Scientific Literature,35188766,2022,3,10,65,5,3879,3893
117,"Li, J., Canham, S. M., Wu, H., Henault, M., Chen, L., Liu, G., Chen, Y., Yu, G., Miller, H. R., Hornak, V., et al. (2024). Activation of human STING by a molecular glue-like compound. Nature Chemical Biology, 20(3), 365–372.",10.1038/s41589-023-01434-y,,Activation of human STING by a molecular glue-like compound.,Nature Chemical Biology,Scientific Literature,37828400,2024,3,,20,3,365,372
118,"Tutter, A., Buckley, D., Golosov, A. A., Ma, X., Shu, W., McKay, D. J. J., Darsigny, V., Dovala, D., Beckwith, R., Solomon, J., et al. (2024). A small molecule VHL molecular glue degrader for cysteine dioxygenase 1. bioRxiv.",10.1101/2024.01.25.576086,,A small molecule VHL molecular glue degrader for cysteine dioxygenase 1.,bioRxiv,preprint,,2024,1,25,,,,
119,"Hao, B., Lin, S., Liu, H., Xu, J., Chen, L., Zheng, T., Zhang, W., Dang, Y., Reiter, R. J., Li, C., et al. (2025). Baicalein tethers CD274/PD-L1 for autophagic degradation to boost antitumor immunity. Autophagy, 21(5), 917–933.",10.1080/15548627.2024.2439657,,Baicalein tethers CD274/PD-L1 for autophagic degradation to boost antitumor immunity.,Autophagy,Scientific Literature,39710370,2025,5,,21,5,917,933
120,"Isobe, Y., Okumura, M., McGregor, L. M., Brittain, S. M., Jones, M. D., Liang, X., White, R., Forrester, W., McKenna, J. M., Tallarico, J. A., Schirle, M., Maimone, T. J., & Nomura, D. K. (2020). Manumycin polyketides act as molecular glues between UBR7 and P53. Nature Chemical Biology, 16(11), 1189–1198.",10.1038/s41589-020-0557-2,,Manumycin polyketides act as molecular glues between UBR7 and P53.,Nature Chemical Biology,Scientific Literature,32572277,2020,11,,16,11,1189,1198
121,"Liu, T. T., Yang, H., Zhuo, F. F., Yang, Z., Zhao, M. M., Guo, Q., Liu, Y., Liu, D., Zeng, K. W., & Tu, P. F. (2022). Atypical E3 ligase ZFP91 promotes small-molecule-induced E2F2 transcription factor degradation for cancer therapy. EBioMedicine, 86, 104353.",10.1016/j.ebiom.2022.104353,,Atypical E3 ligase ZFP91 promotes small-molecule-induced E2F2 transcription factor degradation for cancer therapy.,EBioMedicine,Scientific Literature,36375317,2022,12,,86,,104353,
122,"Gu, W. J., Liu, X. X., Shen, Y. W., Gong, Y. T., Chen, Y. L., Lin, J., Lu, D., Zhang, L. J., Chen, H. Z., Jin, Y., et al. (2024). TRIM4 enhances small-molecule-induced neddylated-degradation of CORO1A for triple negative breast cancer therapy. Theranostics, 14(18), 7023–7041.",10.7150/thno.97662,,TRIM4 enhances small-molecule-induced neddylated-degradation of CORO1A for triple negative breast cancer therapy.,Theranostics,Scientific Literature,39629122,2024,10,21,14,18,7023,7041
123,"Toriki, E. S., Papatzimas, J. W., Nishikawa, K., Dovala, D., Frank, A. O., Hesse, M. J., Dankova, D., Song, J. G., Bruce-Smythe, M., Struble, H., et al. (2023). Rational chemical design of molecular glue degraders. ACS Central Science, 9(5), 915–926.",10.1021/acscentsci.2c01317,,Rational chemical design of molecular glue degraders.,ACS Central Science,Scientific Literature,37252349,2023,4,11,9,5,915,926
