id,name,type,molecular_formula,description,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,logp,ring_count,rotatable_bond_count,topological_polar_surface_area,canonical_smiles,inchi,inchi_key,iupac_name,exact_mass_source,h_bond_acceptor_count_source,h_bond_donor_count_source,heavy_atom_count_source,logp_source,ring_count_source,rotatable_bond_count_source,topological_polar_surface_area_source,ref_id,pubchem_id,chembl_id,covalent_type
2482,WO2024153208A1 Z74,heterodimerization-nondegrader,C47H62N8O6S,,869.4701329,13,2,62,5.6253,9,8,143.39,C([2H])([2H])([2H])O[C@H](C1C(C2N(CC)C3C4=CC(C5N=C(C[C@@H](C(N6N[C@H](C(OCC(CC=24)(C)C)=O)CCC6)=O)NC([C@H]2[C@H](C)[C@@H]2C)=O)SC=5)=CC=3)=CC(N2C[C@@H]3N(CCOC3)CC2)=CN=1)C,"InChI=1S/C47H62N8O6S/c1-8-54-39-12-11-30-18-33(39)35(43(54)34-19-31(22-48-42(34)29(4)59-7)53-15-14-52-16-17-60-24-32(52)23-53)21-47(5,6)26-61-46(58)36-10-9-13-55(51-36)45(57)37(20-40-49-38(30)25-62-40)50-44(56)41-27(2)28(41)3/h11-12,18-19,22,25,27-29,32,36-37,41,51H,8-10,13-17,20-21,23-24,26H2,1-7H3,(H,50,56)/t27-,28+,29-,32-,36-,37-,41+/m0/s1/i7D3",CVYANVYBNQXZFG-XMLRCMETSA-N,"(7S,16S,23S,26S,27R)-7-ethyl-12,12-dimethyl-9-[(9S)-1-[5-[(1S)-1-(trideuteriomethoxy)ethyl]pyrrol-3-yl]-8-oxa-1,4,14,29-tetrazatetracyclo[14.5.2.04,11.019,23]tricosa-16(23),17,19(23),20-tetraen-13-yl]-14-oxa-4-thia-8,21,28,29-tetrazapentacyclo[19.5.1.12,5.116,20.03,8]nonacosa-1(27),2,5(29),9-tetraene-15,22,25-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2483,WO2024153208A1 Z76,heterodimerization-nondegrader,C47H66N8O6S,,870.4826028,14,3,62,5.6631,8,10,146.55,CCN1C2=CC=C3C=C2C(=C1C1=C([C@H](C)OC)N=CC(N(C)CC2COCCN2C)=C1)CC(C)(C)COC(=O)[C@@H]1CCCN(N1)C(=O)[C@@H](N[C@@H](O)[C@H]1[C@H](C)[C@@H]1C)CC1=NC3=CS1,"InChI=1S/C47H66N8O6S/c1-10-54-39-14-13-30-18-33(39)35(43(54)34-19-31(22-48-42(34)29(4)59-9)53(8)23-32-24-60-17-16-52(32)7)21-47(5,6)26-61-46(58)36-12-11-15-55(51-36)45(57)37(20-40-49-38(30)25-62-40)50-44(56)41-27(2)28(41)3/h13-14,18-19,22,25,27-29,32,36-37,41,44,50-51,56H,10-12,15-17,20-21,23-24,26H2,1-9H3/t27-,28+,29-,32?,36-,37-,41+,44-/m0/s1",HMJHLTHQXKFWNQ-PETMJSORSA-N,"(11S,17S)-22-ethyl-7-[(S)-hydroxy-[(1S,2R,3S,4S,5S)-2,3,4-trimethylcyclopentyl]methyl]-21-[6-[(1S)-1-methoxyethyl]-3-[methyl-[(4-methylmorpholin-3-yl)methyl]amino]-3H-pyridin-5-yl]-15,15-dimethyl-13-oxa-4-thia-8,9,22,28,29-pentazapentacyclo[15.5.2.12,5.19,12.020,23]hexacosa-1(23),2,5(26),17(25),18,20(23)-hexaene-8,13-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2484,WO2024153208A1 Z77,heterodimerization-nondegrader,C48H61N7O6S,,863.4404037,12,2,62,6.4367,10,7,140.15,"CCN1C2C=CC3C4=CSC(C[C@H](NC([C@@H]5[C@@H](C)[C@H]5C)=O)C(=O)N5CCC[C@@H](C(=O)OCC6(CC6)CC(=C1C1=C([C@H](C)OC)N=CC([C@]6([H])CCN7CCOC[C@@H]7C6)=C1)C=2C=3)N5)=N4 |&1:12,15,16,18,27,40,47,56,r|","InChI=1S/C48H61N7O6S/c1-6-54-40-10-9-31-19-34(40)36(44(54)35-20-32(23-49-43(35)29(4)59-5)30-11-15-53-16-17-60-24-33(53)18-30)22-48(12-13-48)26-61-47(58)37-8-7-14-55(52-37)46(57)38(21-41-50-39(31)25-62-41)51-45(56)42-27(2)28(42)3/h9-10,19-20,23,25,27-30,33,37-38,42,52H,6-8,11-18,21-22,24,26H2,1-5H3,(H,51,56)/t27-,28+,29-,30+,33-,37-,38-,42+/m0/s1",OOCPHCWOARBWJD-GCIQLVERSA-N,"(12S,18S,25S,26R,27S)-6-[3-[(8R,9aS)-1,3,4,6,7,8,9,9a-octahydropyrido[2,1-c][1,4]oxazin-8-yl]-6-[(1S)-1-methoxyethyl]-3H-pyridin-5-yl]-7-ethyl-25,26-dimethylspiro[14-oxa-21-thia-7,16,27,28-tetrazapentacyclo[18.5.2.12,5.116,22.08,13]nonacosa-1(26),2,4,8(13),9,11-hexaene-10,1'-cyclopropane]-13,19,24-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2485,WO2024153208A1 Z777,heterodimerization-nondegrader,C46H57N11O5S,,875.4264849,16,2,63,6.0015,9,8,156.51,CCN1C2=CC=C3C=C2C(=C1C1=CC(N2CCN(C)CC2)=CN=C1[C@H](C)OC)CC(C)(C)COC(=O)[C@@H]1CCCN(N1)C(=O)[C@@H](NC1=NN=C2C=C(OC)C=CN21)CC1=NC3=CS1,"InChI=1S/C46H57N11O5S/c1-8-55-38-12-11-29-20-32(38)34(42(55)33-21-30(25-47-41(33)28(2)60-6)54-18-16-53(5)17-19-54)24-46(3,4)27-62-44(59)35-10-9-14-57(52-35)43(58)36(23-40-48-37(29)26-63-40)49-45-51-50-39-22-31(61-7)13-15-56(39)45/h11-13,15,20-22,25-26,28,35-36,52H,8-10,14,16-19,23-24,27H2,1-7H3,(H,49,51)/t28-,35-,36-/m0/s1",YLDHKLAJGLQFNK-UVXHQIPUSA-N,"(7R,13S)-21-ethyl-20-[7-[(1S)-1-methoxyethyl]-3-(4-methylpiperazin-1-yl)-3H-azepin-5-yl]-7-[(7-methoxy-[1,2,4]triazolo[4,3-a]pyridin-3-yl)amino]-17,17-dimethyl-15-oxa-4-thia-9,21,27,28-tetrazapentacyclo[17.5.2.12,5.19,13.022,26]octacosa-1(25),2,5(28),19(26),22(26),23-hexaene-8,14-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2486,WO2024153208A1 Z778,heterodimerization-nondegrader,C49H60F3N7O5S,,915.4328737,11,2,65,7.7303,8,7,130.92,C(F)(F)(F)C1CCN(CC#CC2C=C(C3N(CC)C4C5=CC(C6N=C(C[C@@H](C(N7N[C@H](C(OCC(CC=35)(C)C)=O)CCC7)=O)NC([C@H]3[C@H](C)[C@@H]3C)=O)SC=6)=CC=4)C([C@@H](OC)C)=NC=2)CC1,"InChI=1S/C49H60F3N7O5S/c1-8-58-40-14-13-32-22-34(40)36(44(58)35-21-31(25-53-43(35)30(4)63-7)11-9-17-57-19-15-33(16-20-57)49(50,51)52)24-48(5,6)27-64-47(62)37-12-10-18-59(56-37)46(61)38(23-41-54-39(32)26-65-41)55-45(60)42-28(2)29(42)3/h13-14,21-22,25-26,28-30,33,37-38,42,56H,8,10,12,15-20,23-24,27H2,1-7H3,(H,55,60)/t28-,29+,30-,37-,38-,42+/m0/s1",RWSOKGUAUZUACZ-CTMTXBSJSA-N,"(1S,18S,25S,26S)-N-[(18S,26S,27R)-6-ethyl-7-[6-[(1S)-1-methoxyethyl]-3-[3-[4-(trifluoromethyl)piperidin-1-yl]prop-1-ynyl]-3H-pyridin-5-yl]-12,12-dimethyl-15,19,24-trioxo-14-oxa-21-thia-6,20,25,27,28-pentazapentacyclo[18.5.2.12,5.118,22.08,16]nonacosa-2,4,8(16),9,11-pentaen-25-yl]-1,2,3-trimethylcyclopropane-1-carboxamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2487,WO2024153208A1 Z78,heterodimerization-nondegrader,C48H61N7O6S,,863.4404037,12,2,62,6.4367,10,7,140.15,[H][C@]1(C2=CN=C([C@H](C)OC)C(C3=C4CC5(CC5)COC(=O)[C@@H]5CCCN(N5)C(=O)[C@@H](NC(=O)[C@H]5[C@H](C)[C@@H]5C)CC5=NC(=CS5)C5=CC=C(C4=C5)N3CC)=C2)CCN2CCOC[C@H]2C1,"InChI=1S/C48H61N7O6S/c1-6-54-40-10-9-31-19-34(40)36(44(54)35-20-32(23-49-43(35)29(4)59-5)30-11-15-53-16-17-60-24-33(53)18-30)22-48(12-13-48)26-61-47(58)37-8-7-14-55(52-37)46(57)38(21-41-50-39(31)25-62-41)51-45(56)42-27(2)28(42)3/h9-10,19-20,23,25,27-30,33,37-38,42,52H,6-8,11-18,21-22,24,26H2,1-5H3,(H,51,56)/t27-,28+,29-,30-,33+,37-,38-,42+/m0/s1",OOCPHCWOARBWJD-AOGQCXKYSA-N,"(1S,7S,16S)-21-[3-[(8S,9S,9aR)-1,3,4,6,7,8,9,9a-octahydropyrido[2,1-c][1,4]oxazin-8-yl]-6-[(1S)-1-methoxyethyl]-3H-pyridin-5-yl]-22-ethyl-16,20-dimethylspiro[3-oxa-12-thia-18,22,28,29-tetrazapentacyclo[16.6.2.210,13.11,5.021,25]nonacosa-5(29),10,13(28),19,21(25),23-hexaene-2,1'-cyclopropane]-2,8,17-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2488,WO2024153208A1 Z780,heterodimerization-nondegrader,C46H62N7O7PS,,887.416905,13,2,62,6.4017,8,10,157.22,O=P1(CCN(CCOC2C=C(C3N(CC)C4C5=CC(C6N=C(C[C@@H](C(N7N[C@H](C(OCC(CC=35)C)=O)CCC7)=O)NC([C@H]3[C@H](C)[C@@H]3C)=O)SC=6)=CC=4)C([C@@H](OC)C)=NC=2)CC1)C,"InChI=1S/C46H62N7O7PS/c1-8-52-39-12-11-31-21-33(39)34(43(52)35-22-32(24-47-42(35)30(5)58-6)59-17-14-51-15-18-61(7,57)19-16-51)20-27(2)25-60-46(56)36-10-9-13-53(50-36)45(55)37(23-40-48-38(31)26-62-40)49-44(54)41-28(3)29(41)4/h11-12,21-22,24,26-30,36-37,41,50H,8-10,13-20,23,25H2,1-7H3,(H,49,54)/t27?,28-,29+,30-,36-,37-,41+/m0/s1",OLKHGRACYKRGKJ-NLNZRBICSA-N,"(7S,13S,21S,22R,23S)-27-ethyl-26-[6-[(1S)-1-methoxyethyl]-3-[2-(4-methyl-4-oxo-1,4λ5-azaphosphinan-1-yl)ethoxy]-3H-pyridin-5-yl]-17-methyl-15-oxa-4-thia-8,10,23,27,31-pentazapentacyclo[17.5.3.12,5.110,13.022,25]hentriaconta-1(25),2,5(31),19(29),20,22(25)-hexaene-7,9,14-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2489,WO2024153208A1 Z794,heterodimerization-nondegrader,C48H59N7O5S,,845.429839,11,2,61,6.6943,9,6,130.92,CCN1C2C3=CC(C4N=C(C[C@@H](C(N5N[C@H](C(OCC(CC3=C1C1C([C@@H](OC)C)=NC=[C@](C#CC36CCCN3CCC6)C=1)C)=O)CCC5)=O)NC([C@H]1[C@H](C)[C@@H]1C)=O)SC=4)=CC=2,"InChI=1S/C48H59N7O5S/c1-7-54-40-13-12-33-23-34(40)35(44(54)36-22-32(25-49-43(36)31(5)59-6)14-17-48-15-9-18-53(48)19-10-16-48)21-28(2)26-60-47(58)37-11-8-20-55(52-37)46(57)38(24-41-50-39(33)27-61-41)51-45(56)42-29(3)30(42)4/h12-13,22-23,25,27-31,37-38,42,52H,7-11,15-16,18-21,24,26H2,1-6H3,(H,51,56)/t28?,29-,30+,31-,37-,38-,42+/m0/s1",NRIICIBMJLHEJV-LMWIOXSQSA-N,"(7S,13S,21S,22R)-27-ethyl-26-[3-[2-(1,2,3,5,6,7-hexahydropyrrolizin-8-yl)ethynyl]-6-[(1S)-1-methoxyethyl]-3H-pyridin-5-yl]-17,22-dimethyl-15-oxa-4-thia-8,23,27,31-tetrazapentacyclo[17.5.3.12,5.18,13.023,28]hentriaconta-1(25),2,5(31),19(29),20,22-hexaene-7,9,14-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2490,WO2024153208A1 Z796,heterodimerization-nondegrader,C47H64N8O8S2,,932.428853,14,2,65,5.0605,8,10,177.53,CCN1C2=C3C=C(C=C2)C2=CSC(=N2)C[C@H](NC(=O)[C@H]2[C@H](C)[C@@H]2C)C(=O)N2CCC[C@H](N2)C(=O)OCC(C)(C)CC3=C1C1=C([C@H](C)OC)N=CC(OCCN2CCN(C)S(=O)(=O)CC2)=C1,"InChI=1S/C47H64N8O8S2/c1-9-54-39-13-12-31-21-33(39)35(43(54)34-22-32(25-48-42(34)30(4)61-8)62-19-17-53-16-15-52(7)65(59,60)20-18-53)24-47(5,6)27-63-46(58)36-11-10-14-55(51-36)45(57)37(23-40-49-38(31)26-64-40)50-44(56)41-28(2)29(41)3/h12-13,21-22,25-26,28-30,36-37,41,51H,9-11,14-20,23-24,27H2,1-8H3,(H,50,56)/t28-,29+,30-,36-,37-,41+/m0/s1",HYJICTGZIKXWSV-AAHLPCHMSA-N,"(1S,16S,23S,24R,25S)-N-[(3S,11S)-21-ethyl-20-[6-[(1S)-1-methoxyethyl]-3-[2-(2-methyl-1,1-dioxo-1,2,5-thiadiazepan-5-yl)ethoxy]-3H-pyridin-5-yl]-15,15-dimethyl-2,12-dioxo-13-oxa-5-thia-1,21,27,28-tetrazatetracyclo[15.5.3.14,7.06,11]heptacosa-4(27),6,8,17(26),18-pentaen-3-yl]-2,3,4-trimethylcyclobutane-1-carboxamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2491,WO2024153208A1 Z798,heterodimerization-nondegrader,C48H63N7O6S,,865.4560537,12,2,62,6.7125,7,7,140.15,C1(C#CCN2CCOCCC2)C=C(C2=C3CC(COC([C@H]4NN(C(=O)[C@@H](NC(CC(C)(C)C)=O)CC5SC=C(C6=CC3=C(C=C6)N2CC)N=5)CCC4)=O)(C)C)C([C@@H](OC)C)=NC=1,"InChI=1S/C48H63N7O6S/c1-9-54-40-16-15-33-24-34(40)36(44(54)35-23-32(28-49-43(35)31(2)59-8)13-10-17-53-18-12-21-60-22-20-53)26-48(6,7)30-61-46(58)37-14-11-19-55(52-37)45(57)38(25-42-51-39(33)29-62-42)50-41(56)27-47(3,4)5/h15-16,23-24,28-29,31,37-38,52H,9,11-12,14,17-22,25-27,30H2,1-8H3,(H,50,56)/t31-,37-,38-/m0/s1",SOYLICOKMCLHFD-VPXYQHSDSA-N,"N-[(7R,13S)-21-ethyl-20-[6-[(1S)-1-methoxyethyl]-3-[3-(1,4-oxazepan-4-yl)prop-1-ynyl]-3H-pyridin-5-yl]-17,17-dimethyl-8,14-dioxo-15-oxa-4-thia-9,21,27,28-tetrazapentacyclo[17.5.2.12,5.19,13.022,26]octacosa-1(25),2,5(28),19(26),22(26),23-hexaen-7-yl]-3,3-dimethylbutanamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2492,WO2024153208A1 Z80,heterodimerization-nondegrader,C48H61N7O6S,,863.4404037,12,2,62,6.4367,10,7,140.15,"CCN1C2C=CC3=CC=2C(CC2(COC([C@H]4NN(CCC4)C(=O)[C@@H](NC([C@H]4[C@H](C)[C@@H]4C)=O)CC4=NC3=CS4)=O)CC2)=C1C1C=C([C@@]2([H])C[C@@H]3COCCN3CC2)C=NC=1[C@H](C)OC |&1:15,23,26,27,29,45,48,59,r|","InChI=1S/C48H61N7O6S/c1-6-54-40-10-9-31-19-34(40)36(44(54)35-20-32(23-49-43(35)29(4)59-5)30-11-15-53-16-17-60-24-33(53)18-30)22-48(12-13-48)26-61-47(58)37-8-7-14-55(52-37)46(57)38(21-41-50-39(31)25-62-41)51-45(56)42-27(2)28(42)3/h9-10,19-20,23,25,27-30,33,37-38,42,52H,6-8,11-18,21-22,24,26H2,1-5H3,(H,51,56)/t27-,28+,29-,30+,33+,37-,38-,42+/m0/s1",OOCPHCWOARBWJD-DGULMQGMSA-N,"(1S,7S,16S)-21-[3-[(8R,9aR)-1,3,4,6,7,8,9,9a-octahydropyrido[2,1-c][1,4]oxazin-8-yl]-6-[(1S)-1-methoxyethyl]-3H-pyridin-5-yl]-22-ethyl-16,22-dimethylspiro[3-oxa-12-thia-18,22,28,29-tetrazapentacyclo[16.5.2.17,11.110,13.020,24]octacosa-10,13(27),19,21,23,25-hexaene-5,1'-cyclopropane]-2,8,17-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2493,WO2024153208A1 Z803,heterodimerization-nondegrader,C47H61N7O6S,,851.4404037,12,2,61,6.3224,7,8,140.15,C1(C#CCN2CCOCCC2)C=C(C2=C3CC(COC([C@H]4NN(C(=O)[C@@H](NC(CC(C)C)=O)CC5SC=C(C6=CC3=C(C=C6)N2CC)N=5)CCC4)=O)(C)C)C([C@@H](OC)C)=NC=1,"InChI=1S/C47H61N7O6S/c1-8-53-40-15-14-33-24-34(40)36(44(53)35-23-32(27-48-43(35)31(4)58-7)12-9-16-52-17-11-20-59-21-19-52)26-47(5,6)29-60-46(57)37-13-10-18-54(51-37)45(56)38(49-41(55)22-30(2)3)25-42-50-39(33)28-61-42/h14-15,23-24,27-28,30-31,37-38,51H,8,10-11,13,16-22,25-26,29H2,1-7H3,(H,49,55)/t31-,37-,38-/m0/s1",HPPUMPLVTQEXTP-VPXYQHSDSA-N,"N-[(7R,13S)-21-ethyl-20-[6-[(1S)-1-methoxyethyl]-3-[3-(1,4-oxazepan-4-yl)prop-1-ynyl]-3H-pyridin-5-yl]-17,17-dimethyl-8,14-dioxo-15-oxa-4-thia-9,21,27,28-tetrazapentacyclo[17.5.2.12,5.19,13.022,26]octacosa-1(25),2,5(28),19(26),22(26),23-hexaen-7-yl]-3-methylbutanamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2494,WO2024153208A1 Z81,heterodimerization-nondegrader,C53H67N9O5S,,941.4985872,13,2,68,7.61922,10,9,147.05,C1C(C2(N3CCN(C4C=C(C5=C6CC(COC([C@H]7NN(C([C@@H](NC([C@@H]8[C@@H](C)[C@H]8C)=O)CC8SC=C(C9=CC6=C(C=C9)N5CC)N=8)=O)CCC7)=O)(C)C)C([C@@H](OC)C)=NC=4)CC3)CC2)=NC(C)=CC=1,"InChI=1S/C53H67N9O5S/c1-9-61-43-16-15-35-24-37(43)39(48(61)38-25-36(28-54-47(38)34(5)66-8)59-20-22-60(23-21-59)53(17-18-53)44-14-10-12-31(2)55-44)27-52(6,7)30-67-51(65)40-13-11-19-62(58-40)50(64)41(26-45-56-42(35)29-68-45)57-49(63)46-32(3)33(46)4/h10,12,14-16,24-25,28-29,32-34,40-41,46,58H,9,11,13,17-23,26-27,30H2,1-8H3,(H,57,63)/t32-,33+,34-,40-,41-,46+/m0/s1",AVJQUUKTIDBPIN-VPPGDQDTSA-N,"(1S,6S,13S)-N-[(3S,17S)-22-ethyl-21-[6-[(1S)-1-methoxyethyl]-3-[4-[1-(7-methylazepin-2-yl)cyclopropyl]piperazin-1-yl]-3H-pyridin-5-yl]-11,11-dimethyl-2,7,16-trioxo-8-oxa-15-thia-1,22,28-triazatetracyclo[15.5.3.113,16.06,10]hexacosa-16(25),17,19,23-tetraen-3-yl]-1,2-dimethylcyclopropane-1-carboxamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2495,WO2024153208A1 Z810A,heterodimerization-nondegrader,C48H59N7O7S,,877.4196682,12,2,63,5.7049,8,6,157.22,C1(C#CC(N2CCOCCC2)=O)C=C(C2=C3CC(COC([C@H]4NN(C(=O)[C@@H](NC([C@@H]5[C@@H](C)[C@H]5C)=O)CC5SC=C(C6=CC3=C(C=C6)N2CC)N=5)CCC4)=O)(C)C)C([C@@H](OC)C)=NC=1,"InChI=1S/C48H59N7O7S/c1-8-54-39-14-13-32-22-33(39)35(44(54)34-21-31(25-49-43(34)30(4)60-7)12-15-41(56)53-16-10-19-61-20-18-53)24-48(5,6)27-62-47(59)36-11-9-17-55(52-36)46(58)37(23-40-50-38(32)26-63-40)51-45(57)42-28(2)29(42)3/h13-14,21-22,25-26,28-30,36-37,42,52H,8-11,16-20,23-24,27H2,1-7H3,(H,51,57)/t28-,29+,30-,36-,37-,42+/m0/s1",RULLYLBRBWEBBB-XPLZESMOSA-N,"(7S,14S,21S,22R,23S)-27-ethyl-26-[6-[(1S)-1-methoxyethyl]-3-[3-(1,4-oxazepan-4-yl)-3-oxoprop-1-ynyl]-3H-pyridin-5-yl]-18,18,22,23-tetramethyl-16-oxa-4-thia-9,20,27,31,32-pentazapentacyclo[18.5.3.12,5.19,14.024,28]dotriaconta-1(27),2,5(32),15,24(28),25-hexaene-8,15,21-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2496,WO2024153208A1 Z811-2,heterodimerization-nondegrader,C48H61N7O5S,,847.4454891,11,2,61,6.5943,8,6,130.92,CCN1C2=CC=C3C=C2C(=C1C1=CC(C#CCN2CCCOCC2)=CN=C1C(C)C)CC(C)(C)COC(=O)[C@@H]1CCCN(N1)C(=O)[C@@H](NC(=O)[C@H]1[C@H](C)[C@@H]1C)CC1=NC3=CS1,"InChI=1S/C48H61N7O5S/c1-8-54-40-15-14-33-23-34(40)36(44(54)35-22-32(26-49-43(35)29(2)3)12-9-16-53-17-11-20-59-21-19-53)25-48(6,7)28-60-47(58)37-13-10-18-55(52-37)46(57)38(24-41-50-39(33)27-61-41)51-45(56)42-30(4)31(42)5/h14-15,22-23,26-27,29-31,37-38,42,52H,8,10-11,13,16-21,24-25,28H2,1-7H3,(H,51,56)/t30-,31+,37-,38-,42+/m0/s1",IBIIRXHGZMHXNT-KOFJXUDPSA-N,"(7S,10S,11R,12S)-21-ethyl-11,16,16-trimethyl-20-[3-[3-(1,4-oxazepan-4-yl)prop-1-ynyl]-7-propan-2-yl-3H-azepin-6-yl]-18-oxa-4-thia-8,14,21,27,28-pentazapentacyclo[16.5.2.12,5.110,14.022,26]octacosa-1(24),2,5(28),18,22,25-hexaene-7,9,13-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2497,WO2024153208A1 Z812,heterodimerization-nondegrader,C46H59N7O6S,,837.4247536,12,2,60,6.0764,7,8,140.15,CCCC(=O)N[C@H]1CC2=NC(=CS2)C2=CC3=C(C=C2)N(CC)C(C2=CC(C#CCN4CCCOCC4)=CN=C2[C@H](C)OC)=C3CC(C)(C)COC(=O)[C@@H]2CCCN(N2)C1=O,"InChI=1S/C46H59N7O6S/c1-7-12-40(54)48-37-25-41-49-38(28-60-41)32-15-16-39-33(24-32)35(26-46(4,5)29-59-45(56)36-14-10-19-53(50-36)44(37)55)43(52(39)8-2)34-23-31(27-47-42(34)30(3)57-6)13-9-17-51-18-11-21-58-22-20-51/h15-16,23-24,27-28,30,36-37,50H,7-8,10-12,14,17-22,25-26,29H2,1-6H3,(H,48,54)/t30-,36-,37-/m0/s1",LJKPZCWTAOUQOB-UOPCVZPCSA-N,"N-[(7S,14S)-21-ethyl-24-[(1S)-1-methoxyethyl]-18,18-dimethyl-27-[3-(1,4-oxazepan-4-yl)prop-1-ynyl]-8,15-dioxo-16-oxa-4-thia-9,21,25,31-tetrazapentacyclo[18.7.1.12,5.19,14.023,28]triaconta-1(28),2,5(30),19,22,24,26-heptaen-7-yl]butanamide",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
2498,WO2024153208A1 Z813,heterodimerization-nondegrader,C48H61N7O6S,,863.4404037,12,2,62,6.1767,8,7,140.15,C1(C#CCN2[C@H](C)COCC2)C=C(C2=C3CC(COC([C@H]4NN(C(=O)[C@@H](NC([C@@H]5[C@@H](C)[C@H]5C)=O)CC5SC=C(C6=CC3=C(C=C6)N2CC)N=5)CCC4)=O)(C)C)C([C@@H](OC)C)=NC=1,"InChI=1S/C48H61N7O6S/c1-9-54-40-15-14-33-21-34(40)36(44(54)35-20-32(24-49-43(35)31(5)59-8)12-10-16-53-18-19-60-25-28(53)2)23-48(6,7)27-61-47(58)37-13-11-17-55(52-37)46(57)38(22-41-50-39(33)26-62-41)51-45(56)42-29(3)30(42)4/h14-15,20-21,24,26,28-31,37-38,42,52H,9,11,13,16-19,22-23,25,27H2,1-8H3,(H,51,56)/t28-,29-,30+,31+,37+,38+,42+/m1/s1",QHXFIPVNBMSCHQ-ROUYVIEXSA-N,"(7S,16S,21S,22R,23S)-27-ethyl-26-[6-[(1S)-1-methoxyethyl]-3-[3-[(3R)-3-methylmorpholin-4-yl]prop-1-ynyl]-3H-pyridin-5-yl]-12,12,22,23-tetramethyl-14-oxa-4-thia-8,20,27,31,32-pentazapentacyclo[18.5.3.12,5.18,16.024,28]dotriaconta-1(27),2,5(32),15,24(28),25-hexaene-7,9,15-trione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,174,,,non-covalent
