ID,name,Target,DOI,Patent number,Patent title,Efficacy Type,Model,Disease,Efficacy Data,Result,Units,Picture,Administration Time,Assay Method,Assay,Description
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,NCI-H929,multiple myeloma (MM),IC50,36±17,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,OPM-2,multiple myeloma (MM),IC50,49±16,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,U937,acute myeloid leukemia (AML),IC50,72±36,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,MOLM-13,acute myeloid leukemia (AML),IC50,146±43,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,MV-4-11,acute myeloid leukemia (AML),IC50,17±59,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,KG-1,acute myeloid leukemia (AML),IC50,22±19,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,Skm-1,acute myeloid leukemia (AML),IC50,92±67,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,MUTZ-1,acute myeloid leukemia (AML),IC50,83±59,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,Ocl-Ly3,diffuse large B cell lymphoma (DLBCL),IC50,2520±1160,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,SU-DHL-4,diffuse large B cell lymphoma (DLBCL),IC50,4140±1250,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,WSU-DLCL-2,diffuse large B cell lymphoma (DLBCL),IC50,79±15,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,TMD8,diffuse large B cell lymphoma (DLBCL),IC50,783±200,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,Cell Line,U2932,diffuse large B cell lymphoma (DLBCL),IC50,407±170,nM,,,,IC50 values of MGD-15 and MGD-18 in different hematological cancer cell lines for 96 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,,,,DC50,92,nM,,,,"Levels of CK1α in engineered 293T cells with increasing doses of lenalidomide (Len), MGD-15 and MGD-18 as determined by CK1α-HiBiT assay, respectively.",
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,,,,,,,MGD18-WB1,,,Western blot analysis of CK1αand Ikaros family members in NCI-H929 cells treated with indicated compounds for 24 h.,
MG-608,MGD-18,IKZF1/2/3 and CK1α,10.1186/s13045-024-01592-z,,,,,,,,,12-WB2,,,Western blot analysis of Ikaros family members and CK1α in MV-4-11 cells treated with indicated compounds for 24 h.,
MG-614,BIO-2007817,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,150,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-614,BIO-2007817,parkin,10.1038/s41467-024-51889-3,,,,,,,,,BIO-2007817-1,,"Immunoblots of in organello assays showing the rescue of ubiquitination activity of the non-phosphorylatable parkin mutants, S65A and R0RBR, by BIO-2007817. Quantification of the percentage of ubiquitinated Mfn2 is shown as chart bar.",,
MG-614,BIO-2007817,parkin,10.1038/s41467-024-51889-3,,,,,,,,,BIO-2007817-2,,"Immunoblots of in organello assays showing the rescue of ubiquitination activity of Parkinson’s disease parkin mutants, R42P and V56E, by BIO-2007817, but not by the diastereomer, BIO-2007818. Quantification of the percentage of ubiquitinated Mfn2 is shown as chart bar.",,
MG-615,BIO-2007818,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,13900,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-616,BIO-1975900,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,2900,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-617,BIO-1966561,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,2900,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-618,BIO-1983977,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,2100,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-619,BIO-1979167,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,＞50000,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-620,BIO-1967660,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,＞50000,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-621,BIO-2008218,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,280,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-622,BIO-2008219,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,＞50000,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-624,BIO-1975902,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,＞50000,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-626,BIO-2006664,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,＞50000,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-627,BIO-2006661,parkin,10.1038/s41467-024-51889-3,,,Protein,,,EC50,100,nM,,,parkin autoubiquitination assay,Comparison of biochemical potency (EC50in parkin autoubiquitination assays) and the docking scores for subseries 1 (b) and subseries 2 (c) compounds.,
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,HCT-15,colorectal cancer (CRC),IC50,3410±630,nM,,,,"Initially, the inhibitory effect of LXH-3-71 against several colorectal cancer cells was assessed through the CCK-8 assay, revealing that the lead compound could significantly inhibit the growth of all selected colorectal cancer cells at low micromolar concentrations",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,HCT-116,colorectal cancer (CRC),IC50,1800±280,nM,,,,"Initially, the inhibitory effect of LXH-3-71 against several colorectal cancer cells was assessed through the CCK-8 assay, revealing that the lead compound could significantly inhibit the growth of all selected colorectal cancer cells at low micromolar concentrations",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,LoVo,colorectal cancer (CRC),IC50,2570±460,nM,,,,"Initially, the inhibitory effect of LXH-3-71 against several colorectal cancer cells was assessed through the CCK-8 assay, revealing that the lead compound could significantly inhibit the growth of all selected colorectal cancer cells at low micromolar concentrations",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,SW480,colorectal cancer (CRC),IC50,2600±370,nM,,,,"Initially, the inhibitory effect of LXH-3-71 against several colorectal cancer cells was assessed through the CCK-8 assay, revealing that the lead compound could significantly inhibit the growth of all selected colorectal cancer cells at low micromolar concentrations",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,CT-26,colorectal cancer (CRC),IC50,1460±350,nM,,,,"Initially, the inhibitory effect of LXH-3-71 against several colorectal cancer cells was assessed through the CCK-8 assay, revealing that the lead compound could significantly inhibit the growth of all selected colorectal cancer cells at low micromolar concentrations",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,RKO,colorectal cancer (CRC),IC50,4340±610,nM,,,,"Initially, the inhibitory effect of LXH-3-71 against several colorectal cancer cells was assessed through the CCK-8 assay, revealing that the lead compound could significantly inhibit the growth of all selected colorectal cancer cells at low micromolar concentrations",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,MCF 10A,colorectal cancer (CRC),IC50,9920±2480,nM,,,,"To contrast, LXH-3-71 incubationled to demonstrated relatively low cytotoxicity against some human cell lines",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,BEAS-2B,colorectal cancer (CRC),IC50,12390±2760,nM,,,,"To contrast, LXH-3-71 incubationled to demonstrated relatively low cytotoxicity against some human cell lines",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,LO2,colorectal cancer (CRC),IC50,11490±3760,nM,,,,"To contrast, LXH-3-71 incubationled to demonstrated relatively low cytotoxicity against some human cell lines",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,293T,colorectal cancer (CRC),IC50,9730±2620,nM,,,,"To contrast, LXH-3-71 incubationled to demonstrated relatively low cytotoxicity against some human cell lines",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,"CD133,CD44,HCT-116",colorectal cancer (CRC),IC50,2130±260,nM,,,,LXH-3-71 was found to distinctly inhibit the proliferation of colorectal stem cells (CD133 and CD44) sorted by CSC makers in a dose-dependent manner,
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,WT,colorectal cancer stem cells (CRCSCs),IC50,1750±260,nM,,,,"IC50 curves of LXH-3-71 against WT and C281S mutant cells. IC50 values were calculated using GraphPad Prism software, and were expressed as the mean ± SD of three independent experiments.",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,Cell Line,C281S,colorectal cancer stem cells (CRCSCs),IC50,10050±960,nM,,,,"IC50 curves of LXH-3-71 against WT and C281S mutant cells. IC50 values were calculated using GraphPad Prism software, and were expressed as the mean ± SD of three independent experiments.",
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,,,,,,,4-WB1,,,Evaluation of PHGDH expression in HCT-116 and HCT-15 cells incubated with the indicated concentrations of LXH-3-71 for 24 h via Western blot.,
MG-628,LXH-3-71,PHGDH,10.1016/j.apsb.2024.06.001,,,,,,,,,4-WB2,,,Changes analysis of PHGDH protein level in HCT-116 cells treated with LXH-3-71 (4 μmol/L) for indicated time points by Western blot.,
MG-629,Z6466608628,PPIL4,10.1101/2024.09.11.612438,,,,,,EC50,340,nM,,,,"Ultimately, after recognizing one of the two hits was due to autofluorescence, we were able to identify a molecule, Z6466608628, that produced a higher 520/490 ratio, and a better EC50 of 0.34 µM compared to FPFT-2216, measured at 1.05 µM in this experiment",
MG-630,SB1349,Lin28,10.1039/d4cc03614j,,,,,,DC50,1594,nM,1-WB1,,,JAR cells were treated with SB1349 for 24 h,
MG-630,SB1349,Lin28,10.1039/d4cc03614j,,,,,,DC50,777,nM,1-WB1,,,JAR cells were treated with SB1349 for 24 h,
MG-630,SB1349,Lin28,10.1039/d4cc03614j,,,,,,DC50,1421,nM,1-WB2,,,Lin28A degradation in PA-1 cell following SB1349 treatment.,
MG-630,SB1349,Lin28,10.1039/d4cc03614j,,,,,,DC50,2026,nM,1-WB3,,,Lin28B degradation in HEK293T cell following SB1349 treatment,
MG-631,CPT-1,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,2.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-631,CPT-1,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,122.2,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-632,CPT-2,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,6.6,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-632,CPT-2,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,0.6,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-633,CPT-3,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,43.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-633,CPT-3,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,34.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-634,CPT-4,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,20.7,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-634,CPT-4,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,5.4,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-635,CPT-5,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,455.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-635,CPT-5,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,127.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-636,CPT-6,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,26.2,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-636,CPT-6,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,8.9,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-637,CPT-7,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,167.9,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-637,CPT-7,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,328.1,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-638,CPT-8,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,0.072,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-638,CPT-8,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,0.00013,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-639,CPT-9,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,1219.1,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-639,CPT-9,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,692.4,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-640,CPT-10,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,361.2,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-640,CPT-10,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,704.3000000000001,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-641,Liu-EY-01,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,17,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-641,Liu-EY-01,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,115.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-642,Liu-EY-02,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,12.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-642,Liu-EY-02,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,1.1,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-643,Liu-EY-03,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,20.299999999999997,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-643,Liu-EY-03,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,8.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-644,Liu-EY-04,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,0.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-644,Liu-EY-04,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,0.1,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-645,Liu-EY-05,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,0.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-645,Liu-EY-05,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,0.7,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-646,Liu-EY-06,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,0.6,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-646,Liu-EY-06,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,0.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-647,Liu-EY-07,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,43.7,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-647,Liu-EY-07,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,53,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-648,Liu-EY-08,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,11.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-648,Liu-EY-08,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,298.4,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-649,Liu-EY-09,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,159.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-649,Liu-EY-09,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,229.7,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-650,Liu-EY-10,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,95.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-650,Liu-EY-10,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,304.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-651,Liu-EY-11,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,203.9,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-651,Liu-EY-11,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,921.2,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-652,Liu-EY-12,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,279.7,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-652,Liu-EY-12,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,787.6999999999999,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-653,Liu-EY-13,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,204.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-653,Liu-EY-13,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,144.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-654,Liu-EY-14,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,378.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-654,Liu-EY-14,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,383.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-655,Liu-EY-15,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,449.29999999999995,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-655,Liu-EY-15,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,103.9,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-656,Liu-EY-16,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,252.8,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-656,Liu-EY-16,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,167.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-657,Liu-EY-17,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,486.4,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-657,Liu-EY-17,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,208.2,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-658,Liu-EY-18,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,880.1999999999999,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-658,Liu-EY-18,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,665.3,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-659,Liu-EY-19,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,238.9,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-659,Liu-EY-19,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,489.4,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-660,Liu-EY-20,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,606.9,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-660,Liu-EY-20,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,911.1,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-661,Liu-EY-21,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,194.6,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-661,Liu-EY-21,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,700.3000000000001,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-662,Liu-EY-22,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,164.6,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-662,Liu-EY-22,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,296.5,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-663,Liu-EY-23,,10.1016/j.bioorg.2024.107802,,,Cell Line,T24 cell,bladder cancer,IC50,0.2131,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
MG-663,Liu-EY-23,,10.1016/j.bioorg.2024.107802,,,Cell Line,J82 cell,bladder cancer,IC50,123.89999999999999,nM,,,CCK-8 assay,IC50 evaluation of compounds from self-built compound library in bladder cancer cells (T24 and J82),
