Reference,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,Link,DOI
55,36945568,A molecular glue approach to control the half-life of CRISPR-based technologies,"Sreekanth V, Jan M, Zhao KT, Lim D, Davis JR, McConkey M, Kovalcik V, Barkal S, Law BK, Fife J, Tian R, Vinyard ME, Becerra B, Kampmann M, Sherwood RI, Pinello L, Liu DR, Ebert BL, Choudhary A.",bioRxiv [Preprint]. 2023 Mar 20:2023.03.12.531757. doi: 10.1101/2023.03.12.531757.,Sreekanth V,bioRxiv,2023,2023-03-22,PMC10028966,https://doi.org/10.1101/2023.03.12.531757,10.1101/2023.03.12.531757
56,36970148,Structural rationalization of GSPT1 and IKZF1 degradation by thalidomide molecular glue derivatives,"Nowak RP, Che J, Ferrao S, Kong NR, Liu H, Zerfas BL, Jones LH.",RSC Med Chem. 2023 Jan 26;14(3):501-506. doi: 10.1039/d2md00347c. eCollection 2023 Mar 22.,Nowak RP,RSC Med Chem,2023,2023-03-27,PMC10034078,https://doi.org/10.1039/d2md00347c,10.1039/d2md00347c
57,37037192,On Ternary Complex Stability in Protein Degradation: In Silico Molecular Glue Binding Affinity Calculations,"Weiss DR, Bortolato A, Sun Y, Cai X, Lai C, Guo S, Shi L, Shanmugasundaram V.",J Chem Inf Model. 2023 Apr 24;63(8):2382-2392. doi: 10.1021/acs.jcim.2c01386. Epub 2023 Apr 10.,Weiss DR,J Chem Inf Model,2023,2023-04-10,,https://doi.org/10.1021/acs.jcim.2c01386,10.1021/acs.jcim.2c01386
58,37077378,Anagrelide: A Clinically Effective cAMP Phosphodiesterase 3A Inhibitor with Molecular Glue Properties,Meanwell NA.,ACS Med Chem Lett. 2023 Mar 28;14(4):350-361. doi: 10.1021/acsmedchemlett.3c00092. eCollection 2023 Apr 13.,Meanwell NA,ACS Med Chem Lett,2023,2023-04-20,PMC10108399,https://doi.org/10.1021/acsmedchemlett.3c00092,10.1021/acsmedchemlett.3c00092
59,37084663,Target proteins profiling of irreversible kinase inhibitor pelitinib and discovery of degradation of PRDX4 by label free chemoproteomics,"Li J, Zheng M, Xu Y, Yang X, Kang J.",J Pharm Biomed Anal. 2023 Jun 15;230:115398. doi: 10.1016/j.jpba.2023.115398. Epub 2023 Apr 18.,Li J,J Pharm Biomed Anal,2023,2023-04-21,,https://doi.org/10.1016/j.jpba.2023.115398,10.1016/j.jpba.2023.115398
60,37084716,A new avenue for molecular glues: Rapid discovery of a NFKB1 degrader,"Fan AT, Boyle BT, Ferguson FM.",Cell Chem Biol. 2023 Apr 20;30(4):340-342. doi: 10.1016/j.chembiol.2023.04.002.,Fan AT,Cell Chem Biol,2023,2023-04-21,,https://doi.org/10.1016/j.chembiol.2023.04.002,10.1016/j.chembiol.2023.04.002
61,37190019,A New Wave of Targeting 'Undruggable' Wnt Signaling for Cancer Therapy: Challenges and Opportunities,"Park WJ, Kim MJ.",Cells. 2023 Apr 8;12(8):1110. doi: 10.3390/cells12081110.,Park WJ,Cells,2023,2023-05-16,PMC10136927,https://doi.org/10.3390/cells12081110,10.3390/cells12081110
62,37252349,Rational Chemical Design of Molecular Glue Degraders,"Toriki ES, Papatzimas JW, Nishikawa K, Dovala D, Frank AO, Hesse MJ, Dankova D, Song JG, Bruce-Smythe M, Struble H, Garcia FJ, Brittain SM, Kile AC, McGregor LM, McKenna JM, Tallarico JA, Schirle M, Nomura DK.",ACS Cent Sci. 2023 Apr 11;9(5):915-926. doi: 10.1021/acscentsci.2c01317. eCollection 2023 May 24.,Toriki ES,ACS Cent Sci,2023,2023-05-30,PMC10214506,https://doi.org/10.1021/acscentsci.2c01317,10.1021/acscentsci.2c01317
63,37292909,Rational screening for cooperativity in small-molecule inducers of protein-protein associations,"Liu S, Tong B, Mason JW, Ostrem JM, Tutter A, Hua BK, Tang SA, Bonazzi S, Briner K, Berst F, Zécri FJ, Schreiber SL.",bioRxiv [Preprint]. 2023 May 24:2023.05.22.541439. doi: 10.1101/2023.05.22.541439.,Liu S,bioRxiv,2023,2023-06-09,PMC10245867,https://doi.org/10.1101/2023.05.22.541439,10.1101/2023.05.22.541439
64,37293994,Small molecule and peptide inhibitors of βTrCP and the βTrCP-NRF2 protein-protein interaction,"Jaffry U, Wells G.",Biochem Soc Trans. 2023 Jun 28;51(3):925-936. doi: 10.1042/BST20220352.,Jaffry U,Biochem Soc Trans,2023,2023-06-09,PMC10317156,https://doi.org/10.1042/BST20220352,10.1042/BST20220352
65,37310224,Biological and Structural Analyses of New Potent Allosteric Inhibitors of HIV-1 Integrase,"Bonnard D, Le Rouzic E, Singer MR, Yu Z, Le Strat F, Batisse C, Batisse J, Amadori C, Chasset S, Pye VE, Emiliani S, Ledoussal B, Ruff M, Moreau F, Cherepanov P, Benarous R.",Antimicrob Agents Chemother. 2023 Jul 18;67(7):e0046223. doi: 10.1128/aac.00462-23. Epub 2023 Jun 13.,Bonnard D,Antimicrob Agents Chemother,2023,2023-06-13,PMC10353390,https://doi.org/10.1128/aac.00462-23,10.1128/aac.00462-23
66,37350830,Tracking the mechanism of covalent molecular glue stabilization using native mass spectrometry,"Verhoef CJA, Kay DF, van Dijck L, Doveston RG, Brunsveld L, Leney AC, Cossar PJ.",Chem Sci. 2023 May 31;14(24):6756-6762. doi: 10.1039/d3sc01732j. eCollection 2023 Jun 21.,Verhoef CJA,Chem Sci,2023,2023-06-23,PMC10284121,https://doi.org/10.1039/d3sc01732j,10.1039/d3sc01732j
67,37379266,Oligomeric Remodeling by Molecular Glues Revealed Using Native Mass Spectrometry and Mass Photometry,"Huang X, Kamadurai H, Siuti P, Ahmed E, Bennett JL, Donald WA.",J Am Chem Soc. 2023 Jul 12;145(27):14716-14726. doi: 10.1021/jacs.3c02655. Epub 2023 Jun 28.,Huang X,J Am Chem Soc,2023,2023-06-28,,https://doi.org/10.1021/jacs.3c02655,10.1021/jacs.3c02655
68,37390512,A platform for the rapid synthesis of molecular glues (Rapid-Glue) under miniaturized conditions for direct biological screening,"Li J, Li C, Zhang Z, Zhang Z, Wu Z, Liao J, Wang Z, McReynolds M, Xie H, Guo L, Fan Q, Peng J, Tang W.",Eur J Med Chem. 2023 Oct 5;258:115567. doi: 10.1016/j.ejmech.2023.115567. Epub 2023 Jun 20.,Li J,Eur J Med Chem,2023,2023-06-30,PMC10529953,https://doi.org/10.1016/j.ejmech.2023.115567,10.1016/j.ejmech.2023.115567
69,37392559,"Salinization Dramatically Enhance the Anti-Prostate Cancer Efficacies of AR/AR-V7 and Mnk1/2 Molecular Glue Degraders, Galeterone and VNPP433-3β Which Outperform Docetaxel and Enzalutamide in CRPC CWR22Rv1 Xenograft Mouse Model","Thankan RS, Thomas E, Purushottamachar P, Weber DJ, Njar VCO.",Bioorg Chem. 2023 Oct;139:106700. doi: 10.1016/j.bioorg.2023.106700. Epub 2023 Jun 25.,Thankan RS,Bioorg Chem,2023,2023-07-01,PMC10528634,https://doi.org/10.1016/j.bioorg.2023.106700,10.1016/j.bioorg.2023.106700
70,37403870,Expanding Chemical Probe Space: Quality Criteria for Covalent and Degrader Probes,"Hartung IV, Rudolph J, Mader MM, Mulder MPC, Workman P.",J Med Chem. 2023 Jul 27;66(14):9297-9312. doi: 10.1021/acs.jmedchem.3c00550. Epub 2023 Jul 5.,Hartung IV,J Med Chem,2023,2023-07-05,PMC10388296,https://doi.org/10.1021/acs.jmedchem.3c00550,10.1021/acs.jmedchem.3c00550
71,37418973,Discovery of new Lenalidomide derivatives as potent and selective GSPT1 degraders,"Wei Y, Xu X, Jiang M, Wang Y, Zhou Y, Wang Z, Zhang Z, Zhou F, Ding K.",Eur J Med Chem. 2023 Oct 5;258:115580. doi: 10.1016/j.ejmech.2023.115580. Epub 2023 Jun 19.,Wei Y,Eur J Med Chem,2023,2023-07-07,,https://doi.org/10.1016/j.ejmech.2023.115580,10.1016/j.ejmech.2023.115580
72,37437222,Molecular Glue Discovery: Current and Future Approaches,"Dewey JA, Delalande C, Azizi SA, Lu V, Antonopoulos D, Babnigg G.",J Med Chem. 2023 Jul 27;66(14):9278-9296. doi: 10.1021/acs.jmedchem.3c00449. Epub 2023 Jul 12.,Dewey JA,J Med Chem,2023,2023-07-12,PMC10805529,https://doi.org/10.1021/acs.jmedchem.3c00449,10.1021/acs.jmedchem.3c00449
73,37471577,μMap Photoproximity Labeling Enables Small Molecule Binding Site Mapping,"Huth SW, Oakley JV, Seath CP, Geri JB, Trowbridge AD, Parker DL Jr, Rodriguez-Rivera FP, Schwaid AG, Ramil C, Ryu KA, White CH, Fadeyi OO, Oslund RC, MacMillan DWC.",J Am Chem Soc. 2023 Aug 2;145(30):16289-16296. doi: 10.1021/jacs.3c03325. Epub 2023 Jul 20.,Huth SW,J Am Chem Soc,2023,2023-07-20,PMC10809032,https://doi.org/10.1021/jacs.3c03325,10.1021/jacs.3c03325
74,37480690,Novel quinazolin-4(3H)-one based Cyclin K degraders regulate alternative polyadenylation activity,"Sano O, Ito M, Saito M, Toita A, Tanaka T, Maezaki H, Araki S, Iwata H.",Biochem Biophys Res Commun. 2023 Oct 8;676:6-12. doi: 10.1016/j.bbrc.2023.07.028. Epub 2023 Jul 17.,Sano O,Biochem Biophys Res Commun,2023,2023-07-22,,https://doi.org/10.1016/j.bbrc.2023.07.028,10.1016/j.bbrc.2023.07.028
75,37679459,Design principles for cyclin K molecular glue degraders,"Kozicka Z, Suchyta DJ, Focht V, Kempf G, Petzold G, Jentzsch M, Zou C, Di Genua C, Donovan KA, Coomar S, Cigler M, Mayor-Ruiz C, Schmid-Burgk JL, Häussinger D, Winter GE, Fischer ES, Słabicki M, Gillingham D, Ebert BL, Thomä NH.",Nat Chem Biol. 2024 Jan;20(1):93-102. doi: 10.1038/s41589-023-01409-z. Epub 2023 Sep 7.,Kozicka Z,Nat Chem Biol,2024,2023-09-07,PMC10746543,https://doi.org/10.1038/s41589-023-01409-z,10.1038/s41589-023-01409-z
76,37676236,"Structure-Based Optimization of Covalent, Small-Molecule Stabilizers of the 14-3-3σ/ERα Protein-Protein Interaction from Nonselective Fragments","Konstantinidou M, Visser EJ, Vandenboorn E, Chen S, Jaishankar P, Overmans M, Dutta S, Neitz RJ, Renslo AR, Ottmann C, Brunsveld L, Arkin MR.",J Am Chem Soc. 2023 Sep 20;145(37):20328-20343. doi: 10.1021/jacs.3c05161. Epub 2023 Sep 7.,Konstantinidou M,J Am Chem Soc,2023,2023-09-07,PMC10515640,https://doi.org/10.1021/jacs.3c05161,10.1021/jacs.3c05161
77,37683289,"Synthesis of (-)-Cotylenol, a 14-3-3 Molecular Glue Component","Ting SI, Snelson DW, Huffman TR, Kuroo A, Sato R, Shenvi RA.",J Am Chem Soc. 2023 Sep 20;145(37):20634-20645. doi: 10.1021/jacs.3c07849. Epub 2023 Sep 8.,Ting SI,J Am Chem Soc,2023,2023-09-08,PMC11022164,https://doi.org/10.1021/jacs.3c07849,10.1021/jacs.3c07849
78,38140952,Protein degraders - from thalidomide to new PROTACs,Ito T.,J Biochem. 2024 Apr 29;175(5):507-519. doi: 10.1093/jb/mvad113.,Ito T,J Biochem,2024,2023-12-23,,https://doi.org/10.1093/jb/mvad113,10.1093/jb/mvad113
79,38116854,Development of Phenyl-substituted Isoindolinone- and Benzimidazole-type Cereblon Ligands for Targeted Protein Degradation,"Nie X, Zhao Y, Tang H, Zhang Z, Liao J, Almodovar-Rivera CM, Sundaresan R, Xie H, Guo L, Wang B, Guan H, Xing Y, Tang W.",Chembiochem. 2024 Feb 16;25(4):e202300685. doi: 10.1002/cbic.202300685. Epub 2024 Jan 15.,Nie X,Chembiochem,2024,2023-12-20,PMC10922875,https://doi.org/10.1002/cbic.202300685,10.1002/cbic.202300685
80,38104154,The CDK12 inhibitor SR-4835 functions as a molecular glue that promotes cyclin K degradation in melanoma,"Houles T, Boucher J, Lavoie G, MacLeod G, Lin S, Angers S, Roux PP.",Cell Death Discov. 2023 Dec 16;9(1):459. doi: 10.1038/s41420-023-01754-x.,Houles T,Cell Death Discov,2023,2023-12-16,PMC10725499,https://doi.org/10.1038/s41420-023-01754-x,10.1038/s41420-023-01754-x
81,38098458,Discovery of Molecular Glue Degraders via Isogenic Morphological Profiling,"Ng A, Offensperger F, Cisneros JA, Scholes NS, Malik M, Villanti L, Rukavina A, Ferrada E, Hannich JT, Koren A, Kubicek S, Superti-Furga G, Winter GE.",ACS Chem Biol. 2023 Dec 15;18(12):2464-2473. doi: 10.1021/acschembio.3c00598. Epub 2023 Nov 21.,Ng A,ACS Chem Biol,2023,2023-12-15,PMC10764104,https://doi.org/10.1021/acschembio.3c00598,10.1021/acschembio.3c00598
82,38086859,Structural and biophysical comparisons of the pomalidomide- and CC-220-induced interactions of SALL4 with cereblon,"Ma X, Leon B, Ornelas E, Dovala D, Tandeske L, Luu C, Pardee G, Widger S, Solomon JM, Beckwith REJ, Moser H, Clifton MC, Wartchow CA.",Sci Rep. 2023 Dec 12;13(1):22088. doi: 10.1038/s41598-023-48606-3.,Ma X,Sci Rep,2023,2023-12-12,PMC10716131,https://doi.org/10.1038/s41598-023-48606-3,10.1038/s41598-023-48606-3
83,37697005,Unraveling the diversity of molecular glue degraders,,Nat Chem Biol. 2024 Jan;20(1):17-18. doi: 10.1038/s41589-023-01410-6.,,Nat Chem Biol,2024,2023-09-11,,https://doi.org/10.1038/s41589-023-01410-6,10.1038/s41589-023-01410-6
84,37816014,Rational Screening for Cooperativity in Small-Molecule Inducers of Protein-Protein Associations,"Liu S, Tong B, Mason JW, Ostrem JM, Tutter A, Hua BK, Tang SA, Bonazzi S, Briner K, Berst F, Zécri FJ, Schreiber SL.",J Am Chem Soc. 2023 Oct 25;145(42):23281-23291. doi: 10.1021/jacs.3c08307. Epub 2023 Oct 10.,Liu S,J Am Chem Soc,2023,2023-10-10,PMC10603787,https://doi.org/10.1021/jacs.3c08307,10.1021/jacs.3c08307
85,37828400,Activation of human STING by a molecular glue-like compound,"Li J, Canham SM, Wu H, Henault M, Chen L, Liu G, Chen Y, Yu G, Miller HR, Hornak V, Brittain SM, Michaud GA, Tutter A, Broom W, Digan ME, McWhirter SM, Sivick KE, Pham HT, Chen CH, Tria GS, McKenna JM, Schirle M, Mao X, Nicholson TB, Wang Y, Jenkins JL, Jain RK, Tallarico JA, Patel SJ, Zheng L, Ross NT, Cho CY, Zhang X, Bai XC, Feng Y.",Nat Chem Biol. 2024 Mar;20(3):365-372. doi: 10.1038/s41589-023-01434-y. Epub 2023 Oct 12.,Li J,Nat Chem Biol,2024,2023-10-12,PMC10907298,https://doi.org/10.1038/s41589-023-01434-y,10.1038/s41589-023-01434-y
86,37838329,Benzbromarone Induces Targeted Degradation of HSP47 Protein and Improves Hypertrophic Scar Formation,"Park JG, Lim DC, Park JH, Park S, Mok J, Kang KW, Park J.",J Invest Dermatol. 2024 Mar;144(3):633-644. doi: 10.1016/j.jid.2023.09.279. Epub 2023 Oct 13.,Park JG,J Invest Dermatol,2024,2023-10-14,,https://doi.org/10.1016/j.jid.2023.09.279,10.1016/j.jid.2023.09.279
87,37858464,Pharmacological depletion of RNA splicing factor RBM39 by indisulam synergizes with PARP inhibitors in high-grade serous ovarian carcinoma,"Xu Y, Spear S, Ma Y, Lorentzen MP, Gruet M, McKinney F, Xu Y, Wickremesinghe C, Shepherd MR, McNeish I, Keun HC, Nijhuis A.",Cell Rep. 2023 Oct 31;42(10):113307. doi: 10.1016/j.celrep.2023.113307. Epub 2023 Oct 19.,Xu Y,Cell Rep,2023,2023-10-20,,https://doi.org/10.1016/j.celrep.2023.113307,10.1016/j.celrep.2023.113307
88,37596276,Lenalidomide derivatives and proteolysis-targeting chimeras for controlling neosubstrate degradation,"Yamanaka S, Furihata H, Yanagihara Y, Taya A, Nagasaka T, Usui M, Nagaoka K, Shoya Y, Nishino K, Yoshida S, Kosako H, Tanokura M, Miyakawa T, Imai Y, Shibata N, Sawasaki T.",Nat Commun. 2023 Aug 18;14(1):4683. doi: 10.1038/s41467-023-40385-9.,Yamanaka S,Nat Commun,2023,2023-08-18,PMC10439208,https://doi.org/10.1038/s41467-023-40385-9,10.1038/s41467-023-40385-9
89,37736171,Targeted Degradation of CDK4/6: An Innovative Approach to Overcoming Cancer Drug Resistance,Kargbo RB.,ACS Med Chem Lett. 2023 Aug 22;14(9):1162-1164. doi: 10.1021/acsmedchemlett.3c00356. eCollection 2023 Sep 14.,Kargbo RB,ACS Med Chem Lett,2023,2023-09-22,PMC10510523,https://doi.org/10.1021/acsmedchemlett.3c00356,10.1021/acsmedchemlett.3c00356
90,37902676,Discovery of 14-3-3 PPI Stabilizers by Extension of an Amidine-Substituted Thiophene Fragment,"Wu Q, Centorrino F, Guillory X, Wolter M, Ottmann C, Cossar PJ, Brunsveld L.",Chembiochem. 2024 Jan 2;25(1):e202300636. doi: 10.1002/cbic.202300636. Epub 2023 Nov 17.,Wu Q,Chembiochem,2024,2023-10-30,,https://doi.org/10.1002/cbic.202300636,10.1002/cbic.202300636
91,37986959,Covalent 14-3-3 Molecular Glues and Heterobifunctional Molecules Against Nuclear Transcription Factors and Regulators,"Shao Q, Duong TN, Park I, Nomura DK.",bioRxiv [Preprint]. 2023 Nov 6:2023.11.06.565850. doi: 10.1101/2023.11.06.565850.,Shao Q,bioRxiv,2023,2023-11-21,PMC10659333,https://doi.org/10.1101/2023.11.06.565850,10.1101/2023.11.06.565850
92,37995564,Serendipitous discovery of Class I HDAC inhibitors from rational design of molecular glue degraders targeting HDAC,"Chen D, Lin S, Zeng Z, An J, Yan W, Gu Z, Chen L, He B.",Eur J Med Chem. 2024 Jan 5;263:115926. doi: 10.1016/j.ejmech.2023.115926. Epub 2023 Nov 19.,Chen D,Eur J Med Chem,2024,2023-11-23,,https://doi.org/10.1016/j.ejmech.2023.115926,10.1016/j.ejmech.2023.115926
93,38029571,Molecular glues targeting GSPT1 in cancers: A potent therapy,"Zhang D, Lin P, Lin J.",Bioorg Chem. 2024 Feb;143:107000. doi: 10.1016/j.bioorg.2023.107000. Epub 2023 Nov 25.,Zhang D,Bioorg Chem,2024,2023-11-29,,https://doi.org/10.1016/j.bioorg.2023.107000,10.1016/j.bioorg.2023.107000
94,38084501,Design and Characterization of a Novel eEF2K Degrader with Potent Therapeutic Efficacy Against Triple-Negative Breast Cancer,"Zhong C, Zhu R, Jiang T, Tian S, Zhao X, Wan X, Jiang S, Chen Z, Gong R, He L, Yang JM, Ye N, Cheng Y.",Adv Sci (Weinh). 2024 Feb;11(5):e2305035. doi: 10.1002/advs.202305035. Epub 2023 Dec 12.,Zhong C,Adv Sci (Weinh),2024,2023-12-12,PMC10837347,https://doi.org/10.1002/advs.202305035,10.1002/advs.202305035
95,38101039,Targeting phosphatases: From molecule design to clinical trials,"Guo M, Li Z, Gu M, Gu J, You Q, Wang L.",Eur J Med Chem. 2024 Jan 15;264:116031. doi: 10.1016/j.ejmech.2023.116031. Epub 2023 Dec 8.,Guo M,Eur J Med Chem,2024,2023-12-15,,https://doi.org/10.1016/j.ejmech.2023.116031,10.1016/j.ejmech.2023.116031
96,38104659,Screening for molecular glues - Challenges and opportunities,"Holdgate GA, Bardelle C, Berry SK, Lanne A, Cuomo ME.",SLAS Discov. 2024 Mar;29(2):100136. doi: 10.1016/j.slasd.2023.12.008. Epub 2023 Dec 15.,Holdgate GA,SLAS Discov,2024,2023-12-17,,https://doi.org/10.1016/j.slasd.2023.12.008,10.1016/j.slasd.2023.12.008
97,37585660,From Thalidomide to Rational Molecular Glue Design for Targeted Protein Degradation,"Oleinikovas V, Gainza P, Ryckmans T, Fasching B, Thomä NH.",Annu Rev Pharmacol Toxicol. 2024 Jan 23;64:291-312. doi: 10.1146/annurev-pharmtox-022123-104147. Epub 2023 Aug 16.,Oleinikovas V,Annu Rev Pharmacol Toxicol,2024,2023-08-16,,https://doi.org/10.1146/annurev-pharmtox-022123-104147,10.1146/annurev-pharmtox-022123-104147
98,37614621,Targeted Protein Degradation through Recruitment of the CUL4A Complex Adaptor Protein DDB1,"Meyers M, Cismoski S, Panidapu A, Chie-Leon B, Nomura DK.",bioRxiv [Preprint]. 2023 Aug 12:2023.08.11.553046. doi: 10.1101/2023.08.11.553046.,Meyers M,bioRxiv,2023,2023-08-24,PMC10443223,https://doi.org/10.1101/2023.08.11.553046,10.1101/2023.08.11.553046
99,38193430,Degradation by Design: New Cyclin K Degraders from Old CDK Inhibitors,"Thomas KL, Bouguenina H, Miller DSJ, Sialana FJ, Hayhow TG, Choudhary JS, Rossanese OW, Bellenie BR.",ACS Chem Biol. 2024 Jan 19;19(1):173-184. doi: 10.1021/acschembio.3c00616. Epub 2024 Jan 9.,Thomas KL,ACS Chem Biol,2024,2024-01-09,PMC10804372,https://doi.org/10.1021/acschembio.3c00616,10.1021/acschembio.3c00616
100,38228616,Selective CK1α degraders exert antiproliferative activity against a broad range of human cancer cell lines,"Nishiguchi G, Mascibroda LG, Young SM, Caine EA, Abdelhamed S, Kooijman JJ, Miller DJ, Das S, McGowan K, Mayasundari A, Shi Z, Barajas JM, Hiltenbrand R, Aggarwal A, Chang Y, Mishra V, Narina S, Thomas M, Loughran AJ, Kalathur R, Yu K, Zhou S, Wang X, High AA, Peng J, Pruett-Miller SM, Daniels DL, Urh M, Shelat AA, Mullighan CG, Riching KM, Zaman GJR, Fischer M, Klco JM, Rankovic Z.",Nat Commun. 2024 Jan 16;15(1):482. doi: 10.1038/s41467-024-44698-1.,Nishiguchi G,Nat Commun,2024,2024-01-16,PMC10791743,https://doi.org/10.1038/s41467-024-44698-1,10.1038/s41467-024-44698-1
101,38237679,Characterizing the protein-protein interaction between MDM2 and 14-3-3σ; proof of concept for small molecule stabilization,"Ward JA, Romartinez-Alonso B, Kay DF, Bellamy-Carter J, Thurairajah B, Basran J, Kwon H, Leney AC, Macip S, Roversi P, Muskett FW, Doveston RG.",J Biol Chem. 2024 Feb;300(2):105651. doi: 10.1016/j.jbc.2024.105651. Epub 2024 Jan 16.,Ward JA,J Biol Chem,2024,2024-01-18,PMC10864208,https://doi.org/10.1016/j.jbc.2024.105651,10.1016/j.jbc.2024.105651
102,38287153,A molecular glue degrader of eRF1 on the ribosome,,Nat Chem Biol. 2024 Jul;20(7):810-811. doi: 10.1038/s41589-023-01522-z.,,Nat Chem Biol,2024,2024-01-29,,https://doi.org/10.1038/s41589-023-01522-z,10.1038/s41589-023-01522-z
103,38300987,"Discovery and Preclinical Pharmacology of NX-2127, an Orally Bioavailable Degrader of Bruton's Tyrosine Kinase with Immunomodulatory Activity for the Treatment of Patients with B Cell Malignancies","Robbins DW, Noviski MA, Tan YS, Konst ZA, Kelly A, Auger P, Brathaban N, Cass R, Chan ML, Cherala G, Clifton MC, Gajewski S, Ingallinera TG, Karr D, Kato D, Ma J, McKinnell J, McIntosh J, Mihalic J, Murphy B, Panga JR, Peng G, Powers J, Perez L, Rountree R, Tenn-McClellan A, Sands AT, Weiss DR, Wu J, Ye J, Guiducci C, Hansen G, Cohen F.",J Med Chem. 2024 Feb 22;67(4):2321-2336. doi: 10.1021/acs.jmedchem.3c01007. Epub 2024 Feb 1.,Robbins DW,J Med Chem,2024,2024-02-01,,https://doi.org/10.1021/acs.jmedchem.3c01007,10.1021/acs.jmedchem.3c01007
104,38389883,Development of sulfonyl fluoride chemical probes to advance the discovery of cereblon modulators,"Liu Y, Nowak RP, Che J, Donovan KA, Huerta F, Liu H, Metivier RJ, Fischer ES, Jones LH.",RSC Med Chem. 2024 Jan 9;15(2):607-611. doi: 10.1039/d3md00652b. eCollection 2024 Feb 21.,Liu Y,RSC Med Chem,2024,2024-02-23,PMC10880902,https://doi.org/10.1039/d3md00652b,10.1039/d3md00652b
105,38405965,Molecular glues of the regulatory ChREBP/14-3-3 complex protect beta cells from glucolipotoxicity,"Katz LS, Visser EJ, Plitzko KF, Pennings M, Cossar PJ, Tse IL, Kaiser M, Brunsveld L, Scott DK, Ottmann C.",bioRxiv [Preprint]. 2024 Feb 17:2024.02.16.580675. doi: 10.1101/2024.02.16.580675.,Katz LS,bioRxiv,2024,2024-02-26,PMC10888794,https://doi.org/10.1101/2024.02.16.580675,10.1101/2024.02.16.580675
106,38582133,Antascomicin B stabilizes FKBP51-Akt1 complexes as a molecular glue,"Schäfer SC, Voll AM, Bracher A, Ley SV, Hausch F.",Bioorg Med Chem Lett. 2024 May 15;104:129728. doi: 10.1016/j.bmcl.2024.129728. Epub 2024 Apr 4.,Schäfer SC,Bioorg Med Chem Lett,2024,2024-04-06,,https://doi.org/10.1016/j.bmcl.2024.129728,10.1016/j.bmcl.2024.129728
107,38588399,The Pan-RAF-MEK Nondegrading Molecular Glue NST-628 Is a Potent and Brain-Penetrant Inhibitor of the RAS-MAPK Pathway with Activity across Diverse RAS- and RAF-Driven Cancers,"Ryan MB, Quade B, Schenk N, Fang Z, Zingg M, Cohen SE, Swalm BM, Li C, Özen A, Ye C, Ritorto MS, Huang X, Dar AC, Han Y, Hoeflich KP, Hale M, Hagel M.",Cancer Discov. 2024 Jul 1;14(7):1190-1205. doi: 10.1158/2159-8290.CD-24-0139.,Ryan MB,Cancer Discov,2024,2024-04-08,PMC11215411,https://doi.org/10.1158/2159-8290.CD-24-0139,10.1158/2159-8290.CD-24-0139
108,38608634,SuFEx-based chemical diversification for the systematic discovery of CRBN molecular glues,"Carter TR, Milosevich N, Dada L, Shaum JB, Barry Sharpless K, Kitamura S, Erb MA.",Bioorg Med Chem. 2024 Apr 15;104:117699. doi: 10.1016/j.bmc.2024.117699. Epub 2024 Apr 4.,Carter TR,Bioorg Med Chem,2024,2024-04-12,PMC11195152,https://doi.org/10.1016/j.bmc.2024.117699,10.1016/j.bmc.2024.117699
109,38734583,P53 upregulation by USP7-engaging molecular glues,"Li Z, Wang Z, Zhong C, Zhang H, Liu R, An P, Ma Z, Lu J, Pan C, Zhang Z, Cao Z, Hu J, Xing D, Fei Y, Ding Y, Lu B.",Sci Bull (Beijing). 2024 Jun 30;69(12):1936-1953. doi: 10.1016/j.scib.2024.04.017. Epub 2024 Apr 11.,Li Z,Sci Bull (Beijing),2024,2024-05-11,,https://doi.org/10.1016/j.scib.2024.04.017,10.1016/j.scib.2024.04.017
110,38746375,Discovery of CRBN-dependent WEE1 Molecular Glue Degraders from a Multicomponent Combinatorial Library,"Razumkov H, Jiang Z, Baek K, You I, Geng Q, Donovan KA, Tang MT, Metivier RJ, Mageed N, Seo P, Li Z, Byun WS, Hinshaw SM, Sarott RC, Fischer ES, Gray NS.",bioRxiv [Preprint]. 2024 May 5:2024.05.04.592550. doi: 10.1101/2024.05.04.592550.,Razumkov H,bioRxiv,2024,2024-05-15,PMC11092764,https://doi.org/10.1101/2024.05.04.592550,10.1101/2024.05.04.592550
111,38789724,A molecular glue RBM39-degrader induces synthetic lethality in cancer cells with homologous recombination repair deficiency,"Kohsaka S, Yagishita S, Shirai Y, Matsuno Y, Ueno T, Kojima S, Ikeuchi H, Ikegami M, Kitada R, Yoshioka KI, Toshimitsu K, Tabata K, Yokoi A, Doi T, Yamamoto N, Owa T, Hamada A, Mano H.",NPJ Precis Oncol. 2024 May 24;8(1):117. doi: 10.1038/s41698-024-00610-0.,Kohsaka S,NPJ Precis Oncol,2024,2024-05-24,PMC11126574,https://doi.org/10.1038/s41698-024-00610-0,10.1038/s41698-024-00610-0
112,38795517,Identification of novel GSPT1 degraders by virtual screening and bioassay,"Zhang S, Nie S, Ma G, Shen M, Kong L, Zuo Z, Li Y.",Eur J Med Chem. 2024 Jul 5;273:116524. doi: 10.1016/j.ejmech.2024.116524. Epub 2024 May 24.,Zhang S,Eur J Med Chem,2024,2024-05-25,,https://doi.org/10.1016/j.ejmech.2024.116524,10.1016/j.ejmech.2024.116524
