compound_id,smiles,Score_3D
ZINC_V8_43089,C[C@@H]1CN(C(=O)[C@@H]2CCCCC[C@@H]2[NH3+])C[C@H]1C(=O)[O-],0.44078577
ZINC_V8_17069,CCCC[NH+](C)CC(=O)N1CCN(C(=O)C(=O)N2CCCC2)CC1,0.4407857
ZINC_V8_49138,CSc1sc(C#N)c(N)c1-[n+]1ccccc1,0.44078568
ZINC_V8_49363,C[C@@H](CS)CN1C(=O)[C@H]2C[C@H]2C1=O,0.44078568
ZINC_V8_41998,C[C@H]1[C@H]([NH+]2CCC(=O)[C@H](C)[C@@H]2C)CCC[C@@H]1C,0.44078562
ZINC_V8_10765,CC[C@H](CC[NH3+])NC(=O)C1(CC)CCCC1,0.4407856
ZINC_V8_7668,C=CCn1c(=O)n(CC=C)c(=O)n(CCN2C(=O)C=CC2=O)c1=O,0.4407856
ZINC_V8_20117,CC(C)=CC[NH+]1CC[C@@H](C(=O)[O-])[C@H]1C,0.4407856
ZINC_V8_732,C=CCN(CC=C)C(=O)C1CCN(C(=O)C(C)(C)C)CC1,0.4407856
ZINC_V8_38289,C[NH+](C)[C@@H]1CC[C@H](NC(=O)[C@H]2CC2(C)C)C1,0.44078553
ZINC_V8_3661,O=C(Oc1ccccc1)c1ccccc1I,0.44078553
ZINC_V8_19690,CN(C(=O)CCCCO)c1ccccn1,0.4407855
ZINC_V8_30749,COC[C@@H](O)c1ccc(Br)cc1,0.4407855
ZINC_V8_26465,CC[C@](C)(C#N)[C@]1(O)CCS(=O)(=O)C1,0.4407854
ZINC_V8_46595,C[C@@H]1CC(C(=O)N(C)CCC#N)C[C@@H](C)O1,0.4407854
ZINC_V8_1148,C[C@H]1CC[C@H]([C@H](O)C2([NH+]3CCCC3)CCCC2)C[C@@H]1C,0.44078535
ZINC_V8_47083,CC[C@](C)(CO)NC(=O)[C@@H]1CCCCC[C@@H]1[NH3+],0.4407853
ZINC_V8_10282,Cc1c(C)c(C)c(S(=O)(=O)NC2CC2)c(C)c1C,0.4407853
ZINC_V8_4402,CC[C@H](C)C[NH+](C)[C@@H]1CC[C@@](CO)([NH2+]C)C1,0.44078526
ZINC_V8_2274,COC(=O)[C@@H](N)CC(=O)OC(C)(C)C,0.44078526
ZINC_V8_27387,C[C@H]1CCC[C@H](C)C1Nc1ncc(Br)cn1,0.44078526
ZINC_V8_30013,CC1(C)C(CNC(=O)N(CC(=O)[O-])CC(=O)[O-])C1(C)C,0.4407852
ZINC_V8_21336,CC[C@H]([NH2+]C)c1nc(CCC(F)(F)F)no1,0.4407852
ZINC_V8_43474,C[C@@H](CCl)CS(=O)(=O)NC1C(C)(C)C1(C)C,0.4407852
ZINC_V8_11070,CCc1cc(C[NH+](C)C)c(O)c(C[NH+](C)C)c1,0.4407852
ZINC_V8_8803,[NH3+]CC(=O)N1C[C@H](O)C[C@H]1C(=O)[O-],0.44078517
ZINC_V8_44317,C[C@@H]1CSCCN1C(=O)Cl,0.44078517
ZINC_V8_1385,CC(C)(C)OC(=O)[C@@H]1N[C@H](C(=O)[O-])C(C)(C)S1,0.4407851
ZINC_V8_29556,CC(C)[C@@](O)(C(=O)[O-])C1CCCCCC1,0.4407851
ZINC_V8_41669,COC(=S)N(C)c1cc(Cl)cc(Cl)c1,0.4407851
ZINC_V8_19410,O=C([O-])[C@@H]1CCCCC[C@H]1NC(=O)N1CCS(=O)(=O)CC1,0.44078502
ZINC_V8_37028,[NH3+]Cc1ccc2c(c1)OCCO2,0.44078502
ZINC_V8_47789,O=C(C[NH2+]C1CCCC1)N[C@@H]1CCCCC[C@H]1C(=O)[O-],0.44078502
ZINC_V8_9780,C/C=C/C=C/C(=O)NC[C@H]1CCS(=O)(=O)C1,0.44078502
ZINC_V8_7562,O=C1C=CC(=O)N1CNc1ccccc1,0.44078502
ZINC_V8_10867,C[C@@H]1CC[C@@H](C)[NH+]([C@@H]2CCCC(C)(C)[C@@H]2[NH3+])C1,0.440785
ZINC_V8_153,C[C@H]1CCC[C@](C#N)([C@]2(O)CCCCC2(C)C)C1,0.44078493
ZINC_V8_32679,CC(C)[NH2+][C@H](C)[C@H](C)c1cccs1,0.44078493
ZINC_V8_8499,OCC#Cc1ccc(Br)cc1,0.44078493
ZINC_V8_48916,CCCCc1noc([C@H]([NH3+])CCCC)n1,0.44078487
ZINC_V8_13849,C=C(Cl)CN(CCC#N)CCC(F)(F)F,0.44078484
ZINC_V8_42379,CNC(=O)[C@H](C)CN(C)C(=O)[C@@]1(C)CC1(Cl)Cl,0.44078484
ZINC_V8_33080,C/[NH+]=C(/NCC1CC1)N[C@H]1CC[NH+](CC2CC2)C1,0.44078484
ZINC_V8_26684,CCNC(=O)C[NH2+]Cc1ccc(SC)cc1,0.44078484
ZINC_V8_49928,NC(=O)[C@H]1CC[NH+]([C@H]2CCC[C@H](C3CC3)C2)C1,0.44078478
ZINC_V8_2916,C[C@H]1CC[C@H]([NH3+])[C@H](N2CC[NH+]3CCC[C@@H]3C2)C1,0.44078475
ZINC_V8_13747,C/C=C/C(=O)N[C@H]1CCC[C@H]1OC,0.44078475
ZINC_V8_32354,C[C@]12CC3CC(CC(=O)C(C#N)C#N)(C1)C[C@@](C)(C3)C2,0.44078475
ZINC_V8_31444,O=C1CCC2=C1[C@H](c1ccccc1)Nc1ccccc1N2,0.44078475
ZINC_V8_37016,COC(=O)/C=C1\[C@@H]2CC[C@@H](C2)C1(C)C,0.4407847
ZINC_V8_14105,N#Cc1cncc(C(F)(F)F)c1,0.4407847
ZINC_V8_7512,C[NH2+][C@@H]1CC[C@@H](C)C[C@H]1CN(C)C[C@@H]1CCC[NH+]1C,0.44078466
ZINC_V8_8616,C=CCC[C@H](C)c1ccccc1,0.4407846
ZINC_V8_40824,C[C@@H]([NH3+])C(C)(C)CN(C)CCC(F)(F)F,0.4407846
ZINC_V8_3355,C[C@H]1[C@H](C(=O)[O-])CC[NH+]1CC(=O)NC(C)(C)C,0.44078457
ZINC_V8_39121,CC[NH+](CC)C(C)(C)C(=O)COC(C)C,0.44078457
ZINC_V8_48133,CCN[C@H]1CCC[NH+]([C@@H]2CCCC2(C)C)C1,0.4407845
ZINC_V8_21996,CC(C)OCC(=O)CSC1CCCC1,0.44078445
ZINC_V8_34667,CN(C)c1ccc([C@H]([NH3+])CO)cc1,0.44078442
ZINC_V8_35667,C[C@@]1([C@H]2CCC[NH2+]C2)NC(=O)NC1=O,0.44078442
ZINC_V8_45925,C=CC[C@]1(O)CCO[C@](C)(CC)C1,0.44078442
ZINC_V8_232,Cc1ccc([C@]2([NH3+])CC[C@@H]2C)cc1,0.44078436
ZINC_V8_34489,CC[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)CC1CCCC1,0.44078434
ZINC_V8_29565,C=CCN(CC(=O)[O-])C(=O)[C@@H]1[C@H](C)[C@H](C)O[C@@H]1C,0.44078428
ZINC_V8_45765,CSc1ccc([C@@H](C[NH3+])[NH+]2CCCC2)cc1,0.44078428
ZINC_V8_32561,CC[NH2+][C@@H]1CC[C@@H](c2sccc2C)[C@@H]1C,0.4407842
ZINC_V8_20914,C#CCN(CC#C)C(=O)CC1(O)CCCC1,0.4407842
ZINC_V8_26737,CC(C)[NH+]1C[C@H](N[C@@H](C)CO)[C@@H](C)C1,0.4407842
ZINC_V8_26159,Cc1nc(F)c(Br)cc1Br,0.44078416
ZINC_V8_46802,CC(C)[C@H](CO)NC(=O)CCC1CC[NH2+]CC1,0.44078416
ZINC_V8_26150,O=C(OCCC1CC[NH2+]CC1)C1CCCC1,0.4407841
ZINC_V8_27621,CCC(=O)N[C@H]1CCC[C@H](S(C)(=O)=O)C1,0.4407841
ZINC_V8_4073,CC(C)(C#N)[C@](C)(O)c1cccs1,0.4407841
ZINC_V8_15970,CSc1ccc([C@H](Cl)c2ccccc2)cc1,0.44078404
ZINC_V8_30922,CSCC[C@@H](C)NC(=O)NCC[C@@H](C)O,0.440784
ZINC_V8_36899,CC(C)=NNC(=O)c1ccc(Cl)cc1Cl,0.440784
ZINC_V8_29824,CN(CCS(C)(=O)=O)C(=O)C[C@@H]1CCC[NH2+]C1,0.44078395
ZINC_V8_2312,C#CCNCC(=O)NC[C@@H](C)CO,0.44078395
ZINC_V8_41872,CC(C)(C)C(=O)CCc1ccncc1,0.44078392
ZINC_V8_32540,CN(C[C@H]1CCC[NH+]1C)C(=O)CCC1CC[NH2+]CC1,0.44078386
ZINC_V8_15813,C=CCSc1nnc2n1CCCCC2,0.44078386
ZINC_V8_9854,CCC1CCC(C[NH3+])([NH+](C)[C@@H](C)CC)CC1,0.44078386
ZINC_V8_48036,C[C@@H](CCl)CS(=O)(=O)NCCS(C)(=O)=O,0.44078383
ZINC_V8_37287,CCC[NH2+]C[C@H](C)CSc1ccncc1,0.44078383
ZINC_V8_5501,C1CC2(C1)C[C@@H]([NH2+]C1COC1)CCO2,0.44078377
ZINC_V8_12602,CCNC(=O)CN(CC)C(=O)[C@@H](C)OC,0.44078377
ZINC_V8_34318,Nc1cc([N+](=O)[O-])c(F)cc1F,0.44078377
ZINC_V8_46023,CCCC[C@H]([NH3+])[C@H](C)c1ccncc1,0.44078374
ZINC_V8_18987,Cc1ccc(C(=O)N2CCCCCC2)cc1,0.44078374
ZINC_V8_23566,C[C@@H](CS(=O)(=O)[C@@H]1CCC[C@H](S(C)(=O)=O)C1)C(=O)[O-],0.44078374
ZINC_V8_15241,COC(=O)[C@@H](O)C1CC[NH+](CC[NH+](C)C)CC1,0.44078374
ZINC_V8_48165,C[NH2+]CCSc1cccc(C)c1N,0.44078374
ZINC_V8_29112,CCC[NH2+][C@H]1[C@H]([NH+](C)C)CCCC1(C)C,0.44078368
ZINC_V8_23062,C=C1CCC(c2ccccc2)(c2ccccc2)O1,0.44078368
ZINC_V8_18849,CCC(CC)(C(=O)[O-])N1C(=O)[C@@H]2[C@H](C1=O)C2(C)C,0.44078368
ZINC_V8_23820,CC[C@@H](CNc1ncccn1)[NH+]1CCCC1,0.44078368
ZINC_V8_20436,[NH3+]CCOc1cccc2c1OCCO2,0.44078362
ZINC_V8_31658,CN/C(=[NH+]\C)SCC[C@@H]1CCC[C@H](C)C1,0.4407836
ZINC_V8_31388,C[C@H]1[NH2+]CC[C@@H]1C(=O)N(C)CCO,0.44078353
ZINC_V8_42325,Oc1cccc(/C=C2\CC[NH2+]C2)c1,0.44078353
ZINC_V8_11620,Cc1ccc(SCc2nc(N)nc(N)n2)c(C)c1,0.4407835
ZINC_V8_13712,CCC[NH+](CC)[C@@H]1CCC[C@H]([NH2+]C)C1,0.4407835
ZINC_V8_26267,COC(=O)[C@H](C)CNC(=O)C1(O)CCCC1,0.44078344
ZINC_V8_26710,CC(=O)[C@]1(O)CC[C@@H]2[C@H]3CC[C@@H]4CCCC[C@]4(C)[C@@H]3CC[C@]21C,0.44078344
ZINC_V8_2484,CCNC(=O)CN(CC)C(=O)CC1([NH3+])CCC1,0.44078344
ZINC_V8_42758,C[C@H](C1CC1)N(C)C(=O)NCC[NH+]1CCCCC1,0.4407834
ZINC_V8_38513,C[NH+](C[C@H]1CCCC(C)(C)[C@@H]1[NH3+])C1CCCC1,0.44078335
ZINC_V8_35135,Nc1nc(N)nc(Cc2ccccc2)n1,0.44078335
ZINC_V8_22562,O=Cc1ccc(OCCOc2ccc(F)cc2)cc1,0.44078332
ZINC_V8_41591,O=C1COCc2ccccc2N1,0.44078332
ZINC_V8_38789,CC[NH+]1CCC[C@@H]1CN(C)S(=O)(=O)CCO,0.44078326
ZINC_V8_878,CC(C)CNC(=O)[C@](C)(N)C(F)(F)F,0.44078326
ZINC_V8_30233,CC[NH2+][C@@H]1CCC[C@H]1CCN1C[C@@H](C)O[C@@H](C)C1,0.44078326
ZINC_V8_31703,O=Cc1ccc2cccc(O)c2n1,0.44078326
ZINC_V8_21703,C[C@H]1CN(C)C[C@H](C)N1C(=O)CCC(F)(F)F,0.44078317
ZINC_V8_9659,N#CNC(=O)/C=C/c1ccc(C#N)cc1,0.44078317
ZINC_V8_10557,CCC[NH+]1CCC[C@@H]([NH2+]CC2CCC(C(=O)[O-])CC2)CC1,0.44078317
ZINC_V8_22672,CC(C)c1ccc2c(c1)C[NH2+]CCC2,0.44078317
ZINC_V8_23417,C[NH+](C)CCCNC(=O)/C=N/O,0.44078308
ZINC_V8_48513,CC(C)[NH+](CCCO)CC1(CS)CCC1,0.44078308
ZINC_V8_35200,C[C@H](C[NH3+])[C@H](O)[C@@H](C)c1ccccc1,0.44078308
ZINC_V8_3991,CCOCCN(C)C(=O)C1(CC)CCCC1,0.44078302
ZINC_V8_17785,C[C@@H](O)[C@@H](C)SCCCC(=O)NC(N)=O,0.44078302
ZINC_V8_11081,CC[C@@H](C)[NH2+]CC(C)(C)C(=O)OC,0.44078302
ZINC_V8_39793,CO[C@]1(C)C[C@@H](NC(=O)NC2CCC(O)CC2)C1(C)C,0.440783
ZINC_V8_43587,CN(CC1CC[NH+](C)CC1)[C@]1(C[NH3+])CSCC(C)(C)C1,0.440783
ZINC_V8_40825,C[C@H]([NH2+][C@@H]1CCC[C@@H]1[C@@H]1CCC[NH2+]1)C1CCCCC1,0.440783
ZINC_V8_40146,FC(F)(F)C[n+]1csc2ccccc21,0.44078293
ZINC_V8_1884,Cc1ccccc1C[S@](=O)CCCc1ccccc1,0.44078293
ZINC_V8_32577,C=CCOc1c(OC)cccc1OC,0.44078293
ZINC_V8_19651,C=CC[NH2+]C/C=C/COc1ccc(F)cc1,0.4407829
ZINC_V8_2402,CC(C)(C)c1ccc(SCC2(CS)CCOCC2)cc1,0.4407829
ZINC_V8_27293,C[C@H]1CCCCC[NH+]1CC(C)(C)[C@@H](C)[NH3+],0.4407829
ZINC_V8_12404,CC[NH2+][C@@]1(CO)CCC[C@@H]([NH+]2CCCCC2)C1,0.44078285
ZINC_V8_47318,CC(C)[NH2+][C@@H](c1ccccc1)C1CC1,0.44078282
ZINC_V8_28187,C[C@@H]1C[C@@H]([NH3+])CN([C@H]2CSCC(C)(C)C2)C1,0.44078282
ZINC_V8_48552,CC(C)N(C)C(=O)CSc1nncs1,0.44078282
ZINC_V8_25602,O=C1NC(=O)/C(=C\c2cccc(Cl)c2)N1,0.44078276
ZINC_V8_27700,CC(C)(O)C(=O)NN(c1ccccc1)c1ccccc1,0.4407827
ZINC_V8_34560,CN(CC(=O)NCC(F)(F)F)C(=O)[C@](C)(N)C(F)(F)F,0.4407827
ZINC_V8_15737,Cc1nc(C(F)(F)F)nc(C2=CN=NC2)c1C,0.4407827
ZINC_V8_49530,C=CCNC(=O)[C@@H]1CCC[NH+](C)C1,0.4407826
ZINC_V8_37330,CN(CC[C@@H]([NH3+])CO)CCS(C)(=O)=O,0.4407826
ZINC_V8_31169,CC[C@](C)([NH3+])CN(C)[C@@H](C)COC,0.4407826
ZINC_V8_9062,CCS(=O)(=O)C[C@@H](C)[NH2+][C@@H]1C[C@H](C)CC[C@@H]1C(C)C,0.44078258
ZINC_V8_5071,C[C@H]1[NH2+]CCC[C@@H]1C(=O)NC1CCOCC1,0.44078252
ZINC_V8_32996,COC(=O)C(C)(C)CS(=O)(=O)C(C)C,0.44078252
ZINC_V8_3749,CCOc1c(Br)cc(Br)cc1/C=C/C[NH2+]C,0.4407825
ZINC_V8_47342,CC[C@@H](OC(=O)c1ccc([S@](C)=O)cc1)c1ccc(C)cc1,0.4407825
ZINC_V8_16190,C[NH2+][C@H](Cc1ccccn1)C(C)(C)C,0.44078243
ZINC_V8_34648,CCCN(C(=O)NCC(=O)[O-])C(C)C,0.44078243
ZINC_V8_30002,CC(C)[C@H](C)[NH2+][C@H](C)[C@H](O)c1ccc(F)c(F)c1,0.4407824
ZINC_V8_46239,Cc1ccsc1C[NH2+][C@@H]1CS[C@H](C)C1,0.4407824
ZINC_V8_13936,COc1cc(Br)c(O[C@@H](C)C#N)cc1Br,0.4407824
ZINC_V8_13740,Brc1cnc(C2CCCCC2)s1,0.44078234
ZINC_V8_49852,C[C@@H](CO)[NH2+][C@H]1C[C@H]2C[C@@H]1[C@H]1CCC[C@H]21,0.44078234
ZINC_V8_14161,C[NH+](C1CCC([NH3+])CC1)[C@@H]1CCCC[C@@H]1O,0.44078234
ZINC_V8_23046,CCO[C@H](CC)c1n[nH]c(=O)n1C(C)C,0.44078234
ZINC_V8_1422,C[C@@]1(c2ccc(C[NH3+])cc2)NC(=O)NC1=O,0.44078228
ZINC_V8_37499,Cc1ccc(C)n1NC(=O)c1ccccc1,0.44078228
ZINC_V8_19950,COCC1CC[NH+]([C@@H]2CCC[C@H](O)C2)CC1,0.44078228
ZINC_V8_1471,COCC[C@]1(C)O[C@]1(C(=O)OC)C(C)C,0.44078225
ZINC_V8_8511,CC[C@@H]1CC[C@](C#N)([C@]2(O)C[C@H](C)CC(C)(C)C2)C1,0.4407822
ZINC_V8_27771,CCC(CC)N1C(=O)[C@@](C)(CC)NC(=O)C1(C)C,0.4407822
ZINC_V8_33848,CC(C)C[C@@H]([NH3+])c1ccc(Cl)cc1,0.4407822
ZINC_V8_49421,CN(CCCCCBr)C[C@H]1CCC[NH+]1C,0.4407822
ZINC_V8_30912,Nc1ncc(-c2ccccc2)o1,0.44078216
ZINC_V8_26432,CCSCCSCc1nc(CC)cc(=O)[nH]1,0.44078216
ZINC_V8_21850,C[C@@H](C#N)C1(O)CCC(=O)CC1,0.4407821
ZINC_V8_30076,C[C@@H]1[C@@H](C(=O)[O-])CC[NH+]1C1CCC(C(F)(F)F)CC1,0.4407821
ZINC_V8_45324,N#CCC(=O)c1ccc(F)cc1F,0.44078207
ZINC_V8_30543,CC(C)(C)C1=C(Cl)C(=O)[C@](Cl)(C(C)(C)C)[C@@H](Cl)C1=O,0.44078207
ZINC_V8_3421,C[N+]1(/N=C(\[S-])NN)CCOCC1,0.44078207
ZINC_V8_28757,Nc1c(Br)cnn1-c1ncccn1,0.44078207
ZINC_V8_40651,O=C([O-])CSc1ccc(Br)cn1,0.44078207
ZINC_V8_11882,C[NH2+][C@H]1[C@H](C[NH+](CC2CC2)C2CC2)CCC1(C)C,0.440782
ZINC_V8_35563,Cc1cc(C(=O)N(C)C)sc1C,0.440782
ZINC_V8_15884,CNc1nc2c(s1)C(C)(C)OC2(C)C,0.440782
ZINC_V8_32156,[O-][N+]1=C(c2ccccc2)C(c2ccccc2)=[N+]([O-])[C@@H]2CCCC[C@H]21,0.44078198
ZINC_V8_34020,C[C@@H](CNC(=O)N[C@@H]1CCS(=O)(=O)C1)C[NH+]1CCCC1,0.44078198
ZINC_V8_9434,Nc1ncn(CC(F)(F)F)n1,0.44078198
ZINC_V8_31800,CC(C)[C@H]1CC[C@@H]([NH3+])[C@H](N(C)CCS(C)(=O)=O)C1,0.44078198
ZINC_V8_14596,CC(C)(C)[C@H]1CCC[NH+](C/C=C/Cl)CC1,0.44078192
ZINC_V8_18620,C[C@@H](CNC(=O)CC1([NH3+])CCC1)C[NH+]1CCCC1,0.44078192
ZINC_V8_32575,CC(C)C[NH+](C)[C@H]1CCCCC[C@@H]1C[NH3+],0.44078192
ZINC_V8_25909,Nc1cccc(Oc2ncccn2)c1,0.44078186
ZINC_V8_23540,CCC[NH+]1CCN(C[C@@H]2CCC(C)(C)[C@@H]2[NH2+]C)CC1,0.44078186
ZINC_V8_31976,O=C(CC(F)(F)F)N1CCN(C(=O)NCC[NH+]2CCCCC2)CC1,0.44078186
ZINC_V8_7675,Cc1ccccc1N1C(=O)CNC1=S,0.44078186
ZINC_V8_43385,C[C@H]1[NH2+]CC[C@@H]1C(=O)N(C)CCN(C)C1CC[NH+](C)CC1,0.44078186
ZINC_V8_8581,Clc1ccc(/C=N\N2CCCC2)cc1,0.44078183
ZINC_V8_25441,CCC[NH2+][C@@H]1CC[C@@H](N(CC(F)(F)F)C2CC2)C1,0.44078183
ZINC_V8_46702,CCOC(CNC(=O)[C@H]1C[NH2+]C[C@@H]1C)OCC,0.44078177
ZINC_V8_40363,CCOC(OCC)[C@@H](O)[C@H]1CCCC[C@@H]1CC,0.44078177
ZINC_V8_47248,C[NH2+][C@H]1[C@@H](C[NH+](C)CC2CC([O-])C2)CCCC1(C)C,0.44078177
ZINC_V8_36057,O=c1ccc2cc(O)c3c(c2o1)OCO3,0.44078177
ZINC_V8_42327,CC(C)(C)NC(=O)CSc1nnc(C(C)(C)C)n1N,0.44078177
ZINC_V8_25856,C[NH2+][C@H](c1ccccc1C)[C@@H](C)OC,0.44078174
ZINC_V8_37745,N#Cc1nccnc1-c1ccc(CO)cc1,0.44078174
ZINC_V8_6142,C[NH2+][C@H](c1ccccc1C)[C@H](C)OC,0.44078174
ZINC_V8_10288,NC(=O)NC(=O)CCNC(=O)C1C2CC3CC(C2)CC1C3,0.44078168
ZINC_V8_18662,CCC(CC)(NC(=O)C[C@@H]1CCC[NH2+]C1)C(=O)[O-],0.44078168
ZINC_V8_1285,[NH3+]C1([C@H]2CCO[C@@]3(CCSC3)C2)CCCC1,0.44078168
ZINC_V8_46456,C[C@@H]1[C@H](C(=O)[O-])CCN1C(=O)C1CC1,0.44078168
ZINC_V8_9937,CCCN1CC(=O)N(CCC(C)=O)CC1=O,0.44078165
ZINC_V8_25653,C[C@@H](C[NH+]1CCC(C)(C)C1)C(N)=[NH2+],0.4407816
ZINC_V8_17750,c1coc(C[NH2+]C2CCCC2)c1,0.4407816
ZINC_V8_39645,C[NH+](CC(C)(C)C)[C@@H]1CC[C@H](O)C1,0.4407816
ZINC_V8_1045,CC[C@@H](C)[NH+]1CCN([C@H]2CC[C@H]([NH2+]C)C2)CC1,0.4407816
ZINC_V8_27763,C#CCOc1cccc(F)c1,0.4407816
ZINC_V8_34018,CC(C)OCC[C@@H]1CCCC[NH+]1C1CCSCC1,0.4407816
ZINC_V8_22866,CC[C@H]1CCC[NH+]([C@@H]2CC[C@@](CO)([NH2+]C3CC3)C2)C1,0.4407816
ZINC_V8_12836,CCC[C@H](Cc1ccc2nnnn2n1)[NH2+]C,0.4407816
ZINC_V8_17028,CCCCOCC(=O)N[C@H](C#N)C(C)(C)C,0.4407816
ZINC_V8_49098,CC[C@H]([NH2+][C@@H](C)[C@H](O)Cc1ccccc1)C(C)C,0.44078156
ZINC_V8_22937,C[C@@H]1CCC[C@H](NC(=O)N(C)CC(=O)[O-])C1,0.44078156
ZINC_V8_571,CC(C)C[C@](C)(O)CNC(=O)CC[C@H](C)O,0.44078156
ZINC_V8_30253,COC(OCC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1,0.44078156
ZINC_V8_20009,COc1cc(N(C)C)c(OC)cc1C=C1C=CC=C1,0.4407815
ZINC_V8_2406,N#Cc1nn(C(N)=O)c(N)c1C#N,0.44078144
ZINC_V8_16058,C[NH2+][C@@H](c1cc(C)c(F)cc1F)C1(C)CCCC1,0.4407814
ZINC_V8_32192,CCCNC(=O)N[C@@H]1CC[NH2+]C1,0.4407814
ZINC_V8_9189,C#CCN(CC)C1CCC([NH3+])CC1,0.4407814
ZINC_V8_39119,ClC[C@H]1CC(C2CCCCC2)=NO1,0.4407814
ZINC_V8_12158,CC[NH+](C)C[C@@H]1CC[NH+](C2C[C@@H](C)C[C@@H](C)C2)C1,0.44078135
ZINC_V8_40805,CC(C)[NH2+][C@@H](c1ccc(Br)cc1)C1CC1,0.44078135
ZINC_V8_30778,Nc1ncnc(N(Cc2ccccc2)Cc2ccccc2)c1N,0.44078133
ZINC_V8_10214,CNC(=O)O/N=C(\C)[C@H](C)SC,0.44078133
ZINC_V8_5831,CC(C)Cc1ccc([C@H](O)[C@@H]([NH3+])c2ccccc2)cc1,0.44078127
ZINC_V8_34110,C=C(C)[C@@H](O)c1cc(Br)c2c(c1)OCO2,0.44078127
ZINC_V8_34704,C=CC[NH+]1C[C@@H](C(=O)[O-])C2(CC[NH+](C)CC2)C1,0.44078127
ZINC_V8_34187,CC[NH2+][C@@H](C=C(C)C)[C@@H]1C[NH+]2CCN1CC2,0.44078124
ZINC_V8_15718,CS(=O)(=O)[C@@H]1CCC[C@H](C(=O)C2CCCC2)C1,0.44078124
ZINC_V8_35538,C[C@@H](O)CC[NH2+][C@H]1CCCC1(C)C,0.44078124
ZINC_V8_48450,C[NH2+][C@H](C)CNCc1cscc1C,0.44078124
ZINC_V8_20364,CCOC(=O)CSc1nccc(C)n1,0.44078124
ZINC_V8_37735,C[C@@H]1[C@@H](C)N(CC2CC[NH+](C)CC2)CC[C@@H]1[NH3+],0.44078118
ZINC_V8_49513,CC[NH2+]C[C@@H](C)Cc1sccc1C,0.44078118
ZINC_V8_47110,CCCCCNC(=O)C[NH+]1CCCNCC1,0.44078118
ZINC_V8_29258,C/C(=C/c1ccc(SC#N)cc1)[N+](=O)[O-],0.44078118
ZINC_V8_35096,CNC(=S)N/N=C/c1cc(OC)cc(OC)c1,0.44078115
ZINC_V8_25007,CC[NH2+][C@H]1[C@@H](C[NH+]2CC[C@H](COC)C2)CCC1(C)C,0.4407811
ZINC_V8_39103,COc1cc(OC)cc([C@H]2CCC[C@H]2[NH3+])c1,0.4407811
ZINC_V8_8738,Br[C@H]1CCC[C@@H]1C[C@H]1COc2ccccc21,0.44078103
ZINC_V8_47588,CC[C@@H]1C[NH2+][C@H]([C@@H](C)CC)CN1C1C(C)(C)C1(C)C,0.44078103
ZINC_V8_44609,CC(C)Cc1ccc([C@@H](C#N)Nc2ccccc2)cc1,0.44078103
ZINC_V8_27306,O=C([O-])[C@@H](Cc1ccccc1)[NH2+]C[C@H](O)CCl,0.44078103
ZINC_V8_27174,Brc1ccccc1[C@H]1C[NH2+]CCC12CCCCCC2,0.440781
ZINC_V8_4041,CCCC[C@H](C(=O)[O-])c1ccccn1,0.440781
ZINC_V8_646,O=C([O-])c1ccc([S@@](=O)Cc2ccc(O)cc2)cc1,0.440781
ZINC_V8_40025,[NH3+][C@@H]1C[C@@H]1c1cccc2ccccc12,0.44078094
ZINC_V8_1861,CC/[NH+]=C(/NCC1CCC1)N[C@H]1CCS(=O)(=O)C1,0.44078094
ZINC_V8_9808,O=C(CC[S@@](=O)c1ccccc1)NC(=O)NCC(F)(F)F,0.44078094
ZINC_V8_12595,C[C@]1(Cc2sccc2Br)CCCCC[NH2+]1,0.4407809
ZINC_V8_6456,CCC(CC)(NC(=O)NC1CCC(C)(C)CC1)C(=O)[O-],0.44078085
ZINC_V8_8284,C[C@@H]1CCC[C@H](C[NH+](C)[C@@H](C)CS(C)(=O)=O)C1,0.44078085
ZINC_V8_4822,CSCC[NH2+]Cc1nc(C)c(C)s1,0.44078085
ZINC_V8_15669,C[C@H]1C[C@H]1NC(=O)C[C@@H]1CSCC[NH2+]1,0.44078085
ZINC_V8_20438,CSC[C@H](C)N(C)C(=O)NCCC(F)(F)F,0.44078085
ZINC_V8_31114,CN[C@H]1[C@@H](C[NH+](C)CC2CCCCC2)C(C)(C)OC1(C)C,0.44078085
ZINC_V8_19686,CCC[C@@H](C)C[NH2+][C@@](C)(CC)C(=O)[O-],0.44078082
ZINC_V8_23217,C/C=C/C=N/NC(=O)[C@@H](O)c1ccccc1,0.44078076
ZINC_V8_12769,CC(C)CC[NH+](C1CCCC1)[C@@H]1CCC[C@@H]1[NH3+],0.44078076
ZINC_V8_49841,CCCN(CC(=O)[O-])C(=O)[C@H]1C=C[C@@H]([NH3+])C1,0.44078076
ZINC_V8_12616,C[NH2+][C@](C)(CCSc1ccncc1)C(=O)[O-],0.44078076
ZINC_V8_36101,FC(F)(F)[C@@H](Cl)Cc1ccccn1,0.44078076
ZINC_V8_45595,COc1ncccc1C(=O)c1ccccn1,0.44078073
ZINC_V8_21065,CC(=O)[C@@H]1CC[C@@H]([NH2+]C2CCC([N+](=O)[O-])CC2)[C@H]([N+](=O)[O-])C1,0.44078067
